year;age0;age1;age2;age3;age4;age5;age6;age7+
1985;0.005;0.063;0.301;0.874;2.078;3.5;5.562;8.491
1986;0.005;0.063;0.301;0.874;2.07;3.475;5.516;7.991
1987;0.005;0.063;0.301;0.874;1.989;3.308;4.852;7.423
1988;0.005;0.063;0.301;0.874;2.004;3.324;5.41;8.1
1989;0.005;0.063;0.301;0.874;2.012;3.237;5.067;7.661
1990;0.005;0.063;0.301;0.874;2.001;3.27;5.166;7.593
1991;0.005;0.063;0.301;0.874;2.013;3.369;5.343;7.491
1992;0.005;0.063;0.301;0.874;2.017;3.34;5.097;7.365
1993;0.005;0.063;0.301;0.874;1.947;2.749;4.659;7.589
1994;0.005;0.063;0.301;0.874;2.384;3.897;5.782;5.147
1995;0.005;0.063;0.301;0.874;2.091;3.634;5.928;9.171
1996;0.005;0.057;0.259;0.99;1.985;2.872;5.451;6.462
1997;0.005;0.05;0.327;0.896;1.702;2.302;4.036;6.4
1998;0.005;0.081;0.316;0.735;1.907;2.935;3.952;6.418
1999;0.005;0.042;0.285;0.801;1.472;3.085;3.901;4.975
2000;0.005;0.059;0.234;0.801;1.669;3.059;5.07;7.206
2001;0.005;0.043;0.388;0.895;1.741;3.131;4.26;6.9
2002;0.005;0.043;0.433;1.117;1.726;3.281;3.942;6.588
2003;0.005;0.054;0.321;1.032;1.977;3.654;5.135;7.218
2004;0.005;0.067;0.536;0.87;1.547;3.359;4.176;6.128
2005;0.005;0.051;0.35;1.038;2.133;3.348;4.877;6.868
2006;0.005;0.043;0.31;0.795;2.318;3.556;4.211;5.729
2007;0.005;0.073;0.411;0.908;2.038;3.146;4.687;6.439
2008;0.005;0.043;0.465;1.019;2.081;3.135;4.324;6.926
2009;0.005;0.051;0.559;1.327;1.847;3.119;4.683;4.798
2010;0.005;0.066;0.369;1.082;1.545;2.789;3.347;4.628
2011;0.005;0.045;0.36;0.767;1.306;1.949;2.594;2.361
2012;0.005;0.05;0.301;0.882;1.864;2.67;2.559;3.555
2013;0.005;0.049;0.391;0.866;1.395;2.333;3.288;3.513
2014;0.005;0.039;0.345;0.965;2.409;3.305;5.143;4.681
2015;0.005;0.057;0.415;0.891;2.37;4.285;3.838;6.535
2016;0.005;0.045;0.357;0.695;2.218;2.814;4.49;6.149
2017;0.005;0.043;0.241;1.033;2.097;3.429;4.118;5.434
2018;0.005;0.074;0.327;0.948;2.39;3.441;4.79;5.961
2019;0.005;0.05;0.487;0.892;2.383;3.158;3.927;6.034
2020;0.005;0.046;0.324;0.958;1.593;2.736;3.946;6.558
2021;0.005;0.048;0.309;0.933;1.863;2.179;3.075;4.13
2022;0.005;0.024;0.322;0.608;2.623;3.509;4.14;4.274
2023;0.005;0.03;0.256;0.649;1.739;2.21;4.172;5.352
2024;0.005;0.034;0.295;0.73;2.075;2.633;3.795;4.585
