Data,Cod_adult_M_ICES_2024,Cod_juv_M_ICES_2025,Cod_adult_new_min,Cod_juvenile_new_min,Cod_adult_new_max,Cod_juvenile_new_max
1994,23606.3833,37237.23794,23606.3833,21327.02691,23606.38313,65875.36033
1994.083333,23605.38909,37235.73719,23605.76349,21326.22777,23606.04657,65872.64845
1994.166667,23603.12223,37231.09021,23603.84744,21323.77213,23604.32874,65864.10953
1994.25,23600.19466,37227.23922,23601.2282,21321.69247,23601.85882,65857.11868
1994.333333,23596.8219,37224.02063,23598.12287,21319.92429,23598.93157,65851.32331
1994.416667,23593.24307,37221.24565,23594.77371,21318.36533,23595.79615,65846.37757
1994.5,23589.70041,37218.79159,23591.40724,21316.98414,23592.69872,65842.04835
1994.583333,23586.40788,37216.62698,23588.27202,21315.74452,23589.88591,65838.19716
1994.666667,23583.54638,37214.66688,23585.51749,21314.63705,23587.49665,65834.71757
1994.75,23581.24019,37212.87038,23583.30884,21313.63498,23585.67789,65831.477
1994.833333,23579.58528,37211.19659,23581.72157,21312.72414,23584.50607,65828.39351
1994.916667,23578.63669,37209.57942,23580.82332,21311.8841,23584.00102,65825.36069
1995,23578.39915,37207.99058,23580.63297,21311.09282,23584.16951,65822.2772
1995.083333,23563.63074,37214.16348,23606.66489,21294.66005,23749.27719,65735.95093
1995.166667,23551.25346,37220.27032,23628.54378,21278.28549,23886.13223,65649.68757
1995.25,23540.72303,37226.27647,23646.85012,21261.93296,24000.26775,65563.58172
1995.333333,23531.07196,37232.13476,23661.521,21245.58829,24095.37534,65477.95389
1995.416667,23520.56355,37237.80112,23671.53703,21229.25463,24173.39411,65393.3957
1995.5,23509.69018,37243.23151,23677.9223,21212.93985,24237.71411,65310.7441
1995.583333,23498.79792,37248.35672,23681.48069,21196.66597,24290.95897,65230.9619
1995.666667,23488.18883,37253.12641,23682.84773,21180.45344,24335.17295,65155.10648
1995.75,23478.05168,37257.44933,23682.51895,21164.33687,24371.91807,65084.26563
1995.833333,23468.52017,37261.25942,23680.84987,21148.35087,24402.41598,65019.51617
1995.916667,23459.72173,37264.46543,23678.13625,21132.53791,24427.65354,64961.89015
1996,23451.69727,37266.99185,23674.57314,21116.94991,24448.3385,64912.31152
1996.083333,23487.68858,37271.31792,23719.00894,21055.08242,24521.80129,64450.11762
1996.166667,23519.1682,37274.3792,23753.80153,20993.55157,24567.8353,64000.54017
1996.25,23546.99347,37276.41796,23780.34314,20932.54458,24590.87827,63564.40981
1996.333333,23571.86128,37277.53487,23799.77898,20872.19357,24594.4951,63142.48748
1996.416667,23594.37256,37277.78028,23813.07338,20812.60867,24581.58896,62735.6169
1996.5,23615.00083,37277.1762,23821.02234,20753.90944,24554.49674,62344.67261
1996.583333,23634.12519,37275.76984,23824.28183,20696.217,24515.14236,61970.56673
1996.666667,23652.065,37273.59264,23823.38044,20639.66034,24465.07768,61614.25616
1996.75,23669.04993,37270.72013,23818.73031,20584.38264,24405.58434,61276.64034
1996.833333,23685.27819,37267.22153,23810.73573,20530.53332,24337.70283,60958.58158
1996.916667,23700.87091,37263.18177,23799.64684,20478.28386,24262.31445,60660.83449
1997,23715.81709,37258.83367,23785.65241,20427.88595,24180.02137,60384.16761
1997.083333,23734.41603,37257.03088,23755.87175,20331.89758,23880.47832,59303.65106
1997.166667,23751.33332,37254.97639,23720.9596,20238.52216,23579.58988,58263.46309
1997.25,23766.87884,37253.15787,23681.40833,20148.12937,23276.49461,57262.74775
1997.333333,23781.30903,37251.87736,23637.63639,20060.98034,22970.57556,56300.54223
1997.416667,23794.87086,37251.27643,23590.01818,19977.27486,22661.4079,55375.80815
1997.5,23807.74996,37251.43059,23538.85102,19897.16237,22348.65551,54487.56413
1997.583333,23820.13038,37252.34614,23484.44954,19820.78289,22032.13173,53634.80978
1997.666667,23832.16314,37254.01994,23427.03554,19748.22923,21711.73227,52816.61315
1997.75,23843.97881,37256.40793,23366.84342,19679.60049,21387.42503,52032.06589
1997.833333,23855.69538,37259.46292,23304.07138,19614.97375,21059.26364,51280.24576
1997.916667,23867.38992,37263.13457,23238.88147,19554.4324,20727.38028,50560.23091
1998,23877.63877,37268.88274,23173.89764,19495.58844,20405.94581,49857.07306
1998.083333,23887.34174,37268.1654,23114.52669,19422.02798,20173.19225,49458.11854
1998.166667,23897.15956,37268.76633,23054.04983,19350.71078,19940.89349,49072.9882
1998.25,23906.7414,37271.05364,22991.95896,19282.11193,19707.95413,48703.56752
1998.333333,23915.53669,37275.43634,22927.73966,19216.75999,19473.73019,48350.95021
1998.416667,23923.24024,37282.12208,22861.08833,19155.02622,19238.14356,48015.37949
1998.5,23929.6617,37291.20525,22791.8209,19097.19691,19001.4742,47696.48715
1998.583333,23934.71297,37302.71101,22719.87603,19043.47502,18764.14482,47393.4358
1998.666667,23938.35316,37316.59533,22645.30878,18994.01312,18526.70015,47105.02405
1998.75,23940.62317,37332.81101,22568.12544,18948.93549,18289.62076,46829.79799
1998.833333,23941.60165,37351.28253,22488.4723,18908.32394,18053.40493,46566.12171
