"M_var","low","high","ages","years"
1.232,0.911,1.665,0,1985
0.559,0.414,0.755,1,1985
0.635,0.403,0.999,2,1985
0.5,0.318,0.788,3,1985
1.061,0.914,1.232,4,1985
0.933,0.804,1.084,5,1985
0.844,0.727,0.98,6,1985
0.201,0.201,0.201,7,1985
1.185,0.815,1.723,0,1986
0.538,0.37,0.782,1,1986
0.613,0.32,1.172,2,1986
0.483,0.252,0.924,3,1986
0.402,0.201,0.805,4,1986
0.354,0.177,0.708,5,1986
0.32,0.16,0.64,6,1986
0.201,0.201,0.201,7,1986
1.18,0.779,1.786,0,1987
0.535,0.354,0.81,1,1987
0.594,0.294,1.198,2,1987
0.468,0.232,0.944,3,1987
0.276,0.115,0.661,4,1987
0.243,0.101,0.581,5,1987
0.22,0.092,0.526,6,1987
0.201,0.201,0.201,7,1987
1.157,0.74,1.811,0,1988
0.525,0.336,0.822,1,1988
0.599,0.291,1.232,2,1988
0.472,0.23,0.971,3,1988
0.247,0.093,0.65,4,1988
0.217,0.082,0.572,5,1988
0.196,0.074,0.517,6,1988
0.201,0.201,0.201,7,1988
1.074,0.678,1.7,0,1989
0.487,0.308,0.772,1,1989
0.648,0.303,1.386,2,1989
0.511,0.239,1.093,3,1989
0.258,0.094,0.706,4,1989
0.227,0.083,0.621,5,1989
0.206,0.075,0.562,6,1989
0.201,0.201,0.201,7,1989
0.98,0.605,1.588,0,1990
0.445,0.275,0.721,1,1990
0.638,0.288,1.413,2,1990
0.503,0.227,1.114,3,1990
0.31,0.116,0.829,4,1990
0.273,0.102,0.73,5,1990
0.246,0.092,0.66,6,1990
0.201,0.201,0.201,7,1990
0.91,0.545,1.521,0,1991
0.413,0.247,0.69,1,1991
0.555,0.244,1.266,2,1991
0.438,0.192,0.998,3,1991
0.45,0.165,1.224,4,1991
0.395,0.145,1.076,5,1991
0.358,0.131,0.974,6,1991
0.201,0.201,0.201,7,1991
0.885,0.521,1.502,0,1992
0.401,0.236,0.682,1,1992
0.449,0.195,1.038,2,1992
0.354,0.153,0.818,3,1992
0.596,0.223,1.599,4,1992
0.525,0.196,1.406,5,1992
0.475,0.177,1.272,6,1992
0.201,0.201,0.201,7,1992
0.856,0.497,1.475,0,1993
0.389,0.226,0.669,1,1993
0.37,0.16,0.86,2,1993
0.292,0.126,0.678,3,1993
0.6,0.217,1.655,4,1993
0.527,0.191,1.456,5,1993
0.477,0.173,1.317,6,1993
0.201,0.201,0.201,7,1993
0.839,0.482,1.459,0,1994
0.381,0.219,0.662,1,1994
0.352,0.15,0.827,2,1994
0.278,0.118,0.652,3,1994
0.376,0.145,0.973,4,1994
0.331,0.128,0.856,5,1994
0.299,0.115,0.774,6,1994
0.201,0.201,0.201,7,1994
0.856,0.496,1.48,0,1995
0.388,0.225,0.671,1,1995
0.373,0.164,0.85,2,1995
0.294,0.129,0.67,3,1995
0.275,0.098,0.774,4,1995
0.242,0.086,0.681,5,1995
0.219,0.078,0.616,6,1995
0.201,0.201,0.201,7,1995
0.892,0.519,1.533,0,1996
0.405,0.235,0.695,1,1996
0.464,0.213,1.01,2,1996
0.366,0.168,0.796,3,1996
0.229,0.075,0.698,4,1996
0.201,0.066,0.614,5,1996
0.182,0.06,0.556,6,1996
0.201,0.201,0.201,7,1996
0.888,0.519,1.516,0,1997
0.403,0.236,0.688,1,1997
0.677,0.299,1.534,2,1997
0.534,0.235,1.21,3,1997
0.217,0.064,0.733,4,1997
0.19,0.056,0.645,5,1997
0.172,0.051,0.583,6,1997
0.201,0.201,0.201,7,1997
0.908,0.537,1.535,0,1998
0.412,0.244,0.696,1,1998
0.619,0.296,1.291,2,1998
0.488,0.234,1.018,3,1998
0.205,0.058,0.717,4,1998
0.18,0.051,0.631,5,1998
0.163,0.046,0.571,6,1998
0.201,0.201,0.201,7,1998
0.924,0.552,1.545,0,1999
0.419,0.251,0.701,1,1999
0.564,0.27,1.18,2,1999
0.445,0.213,0.931,3,1999
0.206,0.055,0.769,4,1999
0.182,0.049,0.676,5,1999
0.164,0.044,0.612,6,1999
0.201,0.201,0.201,7,1999
0.939,0.567,1.555,0,2000
0.426,0.257,0.705,1,2000
0.565,0.259,1.235,2,2000
0.445,0.204,0.973,3,2000
0.195,0.056,0.686,4,2000
0.172,0.049,0.603,5,2000
0.155,0.044,0.546,6,2000
0.201,0.201,0.201,7,2000
0.945,0.576,1.552,0,2001
0.429,0.261,0.704,1,2001
0.503,0.225,1.125,2,2001
0.397,0.177,0.887,3,2001
0.198,0.059,0.667,4,2001
0.175,0.052,0.587,5,2001
0.158,0.047,0.531,6,2001
0.201,0.201,0.201,7,2001
0.971,0.598,1.576,0,2002
0.44,0.271,0.715,1,2002
0.455,0.187,1.111,2,2002
0.359,0.147,0.876,3,2002
0.225,0.067,0.75,4,2002
0.198,0.059,0.66,5,2002
0.179,0.054,0.597,6,2002
0.201,0.201,0.201,7,2002
0.991,0.618,1.589,0,2003
0.45,0.28,0.721,1,2003
0.363,0.143,0.922,2,2003
0.286,0.113,0.727,3,2003
0.282,0.081,0.978,4,2003
0.248,0.071,0.86,5,2003
0.224,0.064,0.778,6,2003
0.201,0.201,0.201,7,2003
1.065,0.676,1.676,0,2004
0.483,0.307,0.76,1,2004
0.299,0.112,0.801,2,2004
0.236,0.088,0.632,3,2004
0.32,0.097,1.053,4,2004
0.281,0.086,0.926,5,2004
0.254,0.077,0.837,6,2004
0.201,0.201,0.201,7,2004
