"year";"MI_ave";"MI_sd"
1950;4,3325838258086;1,34685380057611
1951;4,03880657395904;1,01770370277562
1952;3,62232660384062;1,33095384003521
1953;3,76942579584052;1,51305520929921
1954;3,05005376276032;1,69271332668939
1955;3,71606528432244;1,84013154283973
1956;3,70553173190049;1,74353770272252
1957;3,39007197043353;1,62403772324661
1958;3,200432612551;1,53424244060862
1959;2,98491028930527;1,31588426685068
1960;2,94808886300166;1,34664278906052
1961;3,62775484727834;1,40245008538767
1962;2,57242333324877;1,78889589630455
1963;1,79665946272513;1,028840814645
1964;2,05872339387511;1,201684291373
1965;2,11758269224227;1,28348809858157
1966;3,70199358681841;1,34452309240978
1967;4,04700551047128;1,49290401462947
1968;3,01401001228693;1,51782832885153
1969;2,72930797681642;1,56592932535675
1970;2,40300110488952;1,23909862546026
1971;2,39947164619387;1,37930926319772
1972;2,20096288666793;1,20452000593196
1973;2,92020767050002;1,42190965554917
1974;2,37052052467621;1,31126822251789
1975;2,16378100338002;1,37643846136748
1976;2,65368835179975;1,77757135122482
1977;2,43397201217936;1,28633668027701
1978;1,77748487168536;1,29236500907349
1979;2,22307467914293;1,28771463805834
1980;2,19535696367181;1,55149148378111
1981;2,1254153392834;1,33435817362372
1982;1,8787820683483;1,42179064063517
1983;1,68661077813823;1,46079968469235
1984;1,91369532702317;1,43790863765568
1985;1,44396036009888;1,08644061592367
1986;1,65434701483588;1,0891018514501
1987;1,55164574029103;1,25631553812093
1988;1,88455093127868;1,25004624949518
1989;2,86962305444903;1,56657975839625
1990;2,56823383481051;1,52778828597356
1991;1,62925061908916;1,33772987680816
1992;1,76161046232419;1,42843252344705
1993;2,225274232235;1,47484151150034
1994;2,24941565321885;1,34072321679701
1995;2,68360139407562;1,90929277710617
1996;1,17295483080337;1,26794008971824
1997;2,36786165987222;1,39861997966843
1998;1,69545611102791;1,33869376494769
1999;1,55409250916238;1,11467945539146
2000;1,57580900392545;1,36073814242496
2001;1,21547011153766;1,05422207524842
2002;1,48451571545259;1,27407583656838
2003;1,33852150116911;1,20101232974697
2004;1,88295620169541;1,17460228986049
2005;1,24332214478163;1,06840686313041
2006;1,36617828531502;0,95649146558125
2007;1,83634031386228;1,41010420242574
2008;1,89405050845724;1,4551836108884
2009;1,3344431767609;1,09461345548042
2010;1,13477662308572;1,35240695104912
2011;2,5072481667626;1,2268995360786
2012;1,93189506127019;1,70580499357118
2013;1,2890187131798;0,957719316487324
2014;2,160284729787;1,12507756431234
2015;2,09610752246202;1,47741080003431
2016;1,41957326190979;1,3838873076512
2017;1,93615191260286;1,52607339805625
2018;1,29514353259217;1,05090891014425
2019;1,83677576151709;1,11287408595215
2020;2,13361729698847;1,38647178258158
2021;2,72962189037624;1,32633030818502
2022;3,54599962344582;1,25283200541232
2023;2,68472893620755;1,21962858040141
2024;2,30683381200311;1,09429779548841
