"year";"MI_ave";"MI_sd"
1950;4,96335774479303;1,7564923171785
1951;4,7933195632104;1,56762573639759
1952;4,97028422761222;1,90981607976403
1953;5,02294801990442;2,19091312585324
1954;5,01161234456539;2,21677758840106
1955;4,89186803563897;2,43645708654461
1956;5,0466805872122;2,30224515686192
1957;4,95984554641286;2,08858416874323
1958;4,82814693911144;2,50936827224202
1959;4,05408592520474;1,72301684677732
1960;4,6284009615747;2,03580479286764
1961;4,67320337713867;1,67871974348227
1962;4,72711304910888;2,53073630878136
1963;4,23830139699946;2,6741248688081
1964;4,22462633804536;2,41124817780131
1965;4,06100679631702;2,07122484441543
1966;4,98068627049052;1,92943684769086
1967;4,9517618722107;1,83271005618246
1968;4,41504096284417;2,15219022851746
1969;4,27942040337094;2,18049622548176
1970;4,2343811016455;2,10673095582633
1971;4,08229612850257;2,06901745101838
1972;3,95576462185322;1,90129839566567
1973;4,16529549748524;1,84249827201047
1974;3,89086109248205;1,80316248884791
1975;3,58655167774075;1,93872066131857
1976;4,14852979269641;2,0925564354483
1977;4,23425194078164;1,92151385734876
1978;3,90132864857249;2,09345986280599
1979;4,43999703487662;2,3584586591036
1980;4,25854638151303;2,39760715676605
1981;3,98115586965246;2,06840399307862
1982;4,31043599752616;2,48782103665112
1983;3,83210739286604;2,22134182252915
1984;3,6819141321152;1,99693825107105
1985;3,98487261916815;2,49440410650545
1986;4,04168376679622;2,33786809905093
1987;4,42298284888881;2,62495316782404
1988;3,81208902465023;2,07428867058621
1989;4,13896313836419;1,81455938546694
1990;3,78542676431065;1,77701588315602
1991;3,64294008198312;2,10344320908169
1992;3,3312552601987;2,05992418242573
1993;3,78367882748643;2,03727304143447
1994;3,80293955049137;1,92987563875565
1995;3,93544533590836;2,13965199961106
1996;3,5278410223181;2,45399440928443
1997;3,93897529078204;2,21047220222731
1998;3,76946684158709;2,05301583777114
1999;3,62764497011012;2,1602109907643
2000;3,4524058954668;2,13803377081979
2001;3,47979863149743;2,14292437753048
2002;3,07416279566202;2,06821399223632
2003;3,37319636386966;2,25346249780865
2004;3,52446711834859;1,77829832637943
2005;3,45861860899857;2,35771849739273
2006;3,33162795259248;2,1010928544218
2007;3,5909335020314;1,92079527085027
2008;3,35468293354559;1,89447130387798
2009;3,26985251711838;1,99707648263262
2010;3,60107985778094;2,44652551931219
2011;4,1825029654682;2,00707651360125
2012;4,08854949170924;2,39564631256256
2013;3,43910622159065;2,33747786288851
2014;3,53843642192477;1,68043920530507
2015;3,80604939489529;1,93338667271981
2016;3,13213546681366;2,02222811083353
2017;3,68562839723546;2,0101307442261
2018;2,93172204311776;2,09453635651837
2019;3,23515675590821;1,69678499149402
2020;3,27712069475919;1,71716580758156
2021;3,69580052052128;1,88366462713321
2022;4,10467707412776;1,65100582668779
2023;3,37023820688103;1,61382008733078
2024;3,27785110655708;1,59396127520137
