"","N","low","high","ages","years"
"1",434618.128043461,209839.613001787,900177.590502866,0,1985
"2",57343.5089269005,32632.9775098895,100765.491443525,1,1985
"3",33795.6417330475,19632.5676870195,58176.0581884385,2,1985
"4",31166.9833875428,18169.309515784,53462.7280489394,3,1985
"5",9201.60210549987,5115.38226098196,16551.9362949205,4,1985
"6",2307.25689852058,1188.46683739222,4479.24521600595,5,1985
"7",553.142168688609,234.149369389383,1306.71399875831,6,1985
"8",389.98400432228,165.49645880856,918.977509985086,7,1985
"9",166320.584558505,75608.0424925597,365867.650264918,0,1986
"10",126807.979294145,70699.869167815,227444.036346032,1,1986
"11",29275.8893975384,16688.4828954904,51357.4364658697,2,1986
"12",9386.35886614992,5668.47899105098,15542.7466350751,3,1986
"13",5150.3036538451,3016.40701816957,8793.78265831865,4,1986
"14",673.020930770312,379.822875370541,1192.54842882501,5,1986
"15",191.761580261676,98.1974157243436,374.475268959031,6,1986
"16",117.668245735219,63.8997981284303,216.680122002509,7,1986
"17",73141.7607186505,31653.4895850211,169008.764315069,0,1987
"18",50844.9370184257,27778.0815113187,93066.4567081166,1,1987
"19",67377.5086848825,37778.186559485,120167.988196925,2,1987
"20",9250.02263888946,5795.44877356028,14763.812460964,3,1987
"21",1956.91541275905,1174.1179813888,3261.61254098519,4,1987
"22",941.307883806675,572.972172221768,1546.42856158405,5,1987
"23",129.114888063115,71.8085342353842,232.154220902287,6,1987
"24",64.3569731377503,37.6883243498759,109.896634114134,7,1987
"25",80763.323270617,34526.1311605136,188921.091546278,0,1988
"26",22481.0747837919,11874.8920524779,42560.2793862016,1,1988
"27",27349.08776996,14896.5734044799,50211.0506584041,2,1988
"28",22939.5581952566,14404.8055556449,36531.0956930863,3,1988
"29",2190.19533565158,1340.33359713634,3578.92663330889,4,1988
"30",464.28248940472,284.687065496038,757.176057831276,5,1988
"31",230.874706673448,137.58948235143,387.407011572327,6,1988
"32",48.8676014414939,28.4950330554771,83.8055694125852,7,1988
"33",94125.5376789197,41644.8553510108,212742.168718583,0,1989
"34",25387.9789893068,13434.8767136947,47975.8386248881,1,1989
"35",12266.21709582,6411.61030582914,23466.8163947822,2,1989
"36",9481.39900721778,5851.22714456301,15363.773258675,3,1989
"37",5668.27417526787,3451.9821457813,9307.50240561765,4,1989
"38",565.845714134892,354.187278328021,903.988911505452,5,1989
"39",123.564929951582,73.3647108947903,208.114933293134,6,1989
"40",75.9444517733028,44.4974774123483,129.615431942373,7,1989
"41",159653.488316674,72658.9750832562,350806.439293639,0,1990
"42",32172.4019025821,17683.4625266832,58532.849130617,1,1990
"43",14453.6054878585,7564.41693969176,27617.02762608,2,1990
"44",4154.00579824254,2501.97215324209,6896.86499886595,3,1990
"45",2373.30500280825,1380.26407537297,4080.79637574616,4,1990
"46",1539.49645724778,959.566858264927,2469.91579738795,5,1990
"47",158.539615790418,95.4188294254165,263.41561645985,6,1990
"48",57.2229777163408,33.3237883842084,98.2622125963493,7,1990
"49",283223.276622379,129254.18640703,620602.137930857,0,1991
"50",59895.7829517225,34504.2420212103,103972.86261772,1,1991
"51",19015.2552377989,10423.438585969,34689.1219031463,2,1991
"52",4813.17317734577,2842.77083889603,8149.31535041262,3,1991
"53",992.443855642001,538.692062392248,1828.40044501041,4,1991
"54",573.365290479243,342.632174260205,959.477191644841,5,1991
"55",386.066247779204,236.262286072104,630.854590261718,6,1991
"56",56.2189482788663,32.6826230018389,96.7049109064476,7,1991
"57",83331.8410492527,38465.2122977639,180531.844693903,0,1992
"58",113983.540771236,66895.035441994,194218.412187161,1,1992
"59",36312.489522569,21098.7381996892,62496.4812040799,2,1992
"60",6627.34749408806,3995.81745735275,10991.9272529766,3,1992
"61",1139.68280231042,588.64142183748,2206.56726097802,4,1992
"62",190.901043852924,112.27083106188,324.600862035569,5,1992
"63",116.424852110664,70.1082278981823,193.340305344411,6,1992
"64",95.2720354854422,57.887576112587,156.799806713028,7,1992
"65",189464.313214976,87667.3453865248,409465.18710877,0,1993
"66",34396.963342882,20381.3605032274,58050.6432347444,1,1993
"67",69790.8961773951,41569.6855783288,117171.181871608,2,1993
"68",13942.4817298504,8814.81076414633,22052.9744754015,3,1993
"69",1674.99729335274,902.895851370032,3107.3527788192,4,1993
"70",185.173386302228,110.862833719492,309.293762789733,5,1993
"71",33.3273908540766,19.5706005940718,56.7542613626705,6,1993
"72",44.3573263872852,27.2563302392691,72.1877225200845,7,1993
"73",347557.617179173,157554.963926434,766693.059037272,0,1994
"74",80455.530000521,48010.5912302607,134826.340226046,1,1994
"75",21453.4809481101,12838.8044639675,35848.4971153377,2,1994
"76",29944.075431557,19075.9895657363,47003.991607403,3,1994
"77",3999.26571270769,2372.57346073445,6741.2564902788,4,1994
"78",292.940529091429,182.58444889233,469.997056731655,5,1994
"79",34.8101074381863,20.5784239243418,58.8841781233173,6,1994
"80",18.1451582067251,10.8813996854942,30.2577587317186,7,1994
"81",101439.36446857,44970.9690998843,228813.051391724,0,1995
"82",150224.732552537,86336.3998742135,261389.985027874,1,1995
