Year,SSB,SSB_novelM_low,SSB_novelM_high,M_type,recruitment
1985,45440.8,45440.8,45440.8,novelM_high,average_5years
1986,27211.8,27211.8,27211.8,novelM_high,average_5years
1987,30904.7,30904.7,30904.7,novelM_high,average_5years
1988,32758,32758,32758,novelM_high,average_5years
1989,23804.7,23804.7,23804.7,novelM_high,average_5years
1990,17256.4,17256.4,17256.4,novelM_high,average_5years
1991,15742,15742,15742,novelM_high,average_5years
1992,18675.3,18675.3,18675.3,novelM_high,average_5years
1993,30149.2,30149.2,30149.2,novelM_high,average_5years
1994,40522.7,40522.7,40522.7,novelM_high,average_5years
1995,44858.5,44858.5,44858.5,novelM_high,average_5years
1996,62987.3,62987.3,62987.3,novelM_high,average_5years
1997,66506.2,66506.2,66506.2,novelM_high,average_5years
1998,50660.9,50660.9,50660.9,novelM_high,average_5years
1999,60232.1,60232.1,60232.1,novelM_high,average_5years
2000,53558,53558,53558,novelM_high,average_5years
2001,46969.1,46969.1,46969.1,novelM_high,average_5years
2002,41896.1,41896.1,41896.1,novelM_high,average_5years
2003,38383.3,38383.3,38383.3,novelM_high,average_5years
2004,36477.2,36477.2,36477.2,novelM_high,average_5years
2005,45054.7,45054.7,45054.7,novelM_high,average_5years
2006,43340.1,43340.1,43340.1,novelM_high,average_5years
2007,43614,43614,43614,novelM_high,average_5years
2008,31759.2,31759.2,31759.2,novelM_high,average_5years
2009,21290.2,21290.2,21290.2,novelM_high,average_5years
2010,16776.2,16776.2,16776.2,novelM_high,average_5years
2011,17673.6,17673.6,17673.6,novelM_high,average_5years
2012,22121.8,22121.8,22121.8,novelM_high,average_5years
2013,19169.4,19169.4,19169.4,novelM_high,average_5years
2014,26338.7,26338.7,26338.7,novelM_high,average_5years
2015,30127.1,30127.1,30127.1,novelM_high,average_5years
2016,28561.3,28561.3,28561.3,novelM_high,average_5years
2017,23659.3,23659.3,23659.3,novelM_high,average_5years
2018,25578.9,25578.9,25578.9,novelM_high,average_5years
2019,27705.8,27705.8,27705.8,novelM_high,average_5years
2020,25799,25799,25799,novelM_high,average_5years
2021,8760.72,8760.72,8760.72,novelM_high,average_5years
2022,7259.3,7259.3,7259.3,novelM_high,average_5years
2023,4420.72,4386.25,4455.46,novelM_high,average_5years
2024,2849.8,1775.77,4573.43,novelM_high,average_5years
2025,2760.65,1557.77,4892.36,novelM_high,average_5years
2026,2191.63,1216.1,3949.68,novelM_high,average_5years
2027,2317.86,1149.73,4672.82,novelM_high,average_5years
2028,2304.1,1267.38,4188.86,novelM_high,average_5years
2029,2330.22,1178.33,4608.15,novelM_high,average_5years
2030,2309.47,1101.61,4841.68,novelM_high,average_5years
2031,2069.94,1102.69,3885.66,novelM_high,average_5years
2032,2223.42,1019.08,4851.01,novelM_high,average_5years
2033,2361.98,1009.46,5526.68,novelM_high,average_5years
2034,2247.78,1023.27,4937.62,novelM_high,average_5years
2035,2179.47,1081.21,4393.29,novelM_high,average_5years
2036,2125.73,1108.82,4075.24,novelM_high,average_5years
2037,1997.9,986.642,4045.65,novelM_high,average_5years
2038,2063.78,919.873,4630.21,novelM_high,average_5years
2039,2221.72,1054.64,4680.32,novelM_high,average_5years
2040,2166.93,989.44,4745.68,novelM_high,average_5years
2041,2238.49,969.421,5168.89,novelM_high,average_5years
2042,2365.98,1277.8,4380.86,novelM_high,average_5years
2043,2165.74,1034.3,4534.88,novelM_high,average_5years
2044,2294.84,1083.21,4861.76,novelM_high,average_5years
2045,2398.47,1170,4916.79,novelM_high,average_5years
2046,1930.44,908.375,4102.51,novelM_high,average_5years
2047,2028.36,920.512,4469.52,novelM_high,average_5years
2048,2203.31,1068.91,4541.61,novelM_high,average_5years
2049,2225.17,1075.68,4603.04,novelM_high,average_5years
2050,2118.77,979.118,4584.92,novelM_high,average_5years
2051,2220.23,1095.85,4498.23,novelM_high,average_5years
2052,2122.87,972.639,4633.35,novelM_high,average_5years
2053,2106.15,958.314,4628.84,novelM_high,average_5years
2054,2108.38,887.312,5009.82,novelM_high,average_5years
2055,2187.32,1061.03,4509.16,novelM_high,average_5years
2056,2151.96,1053,4397.86,novelM_high,average_5years
2057,2160.72,1022.4,4566.4,novelM_high,average_5years
2058,2497.09,1179.97,5284.39,novelM_high,average_5years
2059,2210.52,1075.22,4544.56,novelM_high,average_5years
2060,2171,1052.94,4476.29,novelM_high,average_5years
2061,1970.71,931.443,4169.57,novelM_high,average_5years
2062,2125.03,966.908,4670.3,novelM_high,average_5years
2063,2019.98,1034.13,3945.68,novelM_high,average_5years
2064,2414.8,1058.75,5507.7,novelM_high,average_5years
2065,2429.22,1076.81,5480.14,novelM_high,average_5years
2066,2313.84,1067.54,5015.15,novelM_high,average_5years
2067,2339.92,1090.65,5020.15,novelM_high,average_5years
2068,2336.12,1095.06,4983.7,novelM_high,average_5years
2069,2186.72,1088.31,4393.76,novelM_high,average_5years
2070,2292.85,1026.94,5119.28,novelM_high,average_5years
2071,2326.83,1100.5,4919.69,novelM_high,average_5years
2072,2099.52,1010.83,4360.75,novelM_high,average_5years
2073,2373.87,1084.05,5198.37,novelM_high,average_5years
2074,2388.49,1139.62,5005.97,novelM_high,average_5years
2075,2383.24,1045.23,5434.04,novelM_high,average_5years
