year;age0;age1;age2;age3;age4;age5;age6;age7
1985;0;0.09874361;0.48507945;1.0779999;1.1204314;0.9788896;0.9788896;0.9788896
1986;0;0.09497703;0.46323795;1.0148818;1.1516064;0.9935504;0.9935504;0.9935504
1987;0;0.09125886;0.4458904;0.9308844;1.0989414;0.9581865;0.9581865;0.9581865
1988;0;0.08979209;0.39202088;0.8967155;1.0436916;0.9422004;0.9422004;0.9422004
1989;0;0.0835747;0.35640879;0.8307827;1.0236263;0.878166;0.878166;0.878166
1990;0;0.08086951;0.36709662;0.8290938;1.0443865;0.9299628;0.9299628;0.9299628
1991;0;0.08108537;0.3787398;0.804153;1.0594767;1.0577757;1.0577757;1.0577757
1992;0;0.08029104;0.3577058;0.7747806;0.9954437;1.2435325;1.2435325;1.2435325
1993;0;0.07497733;0.33645701;0.7220853;0.9522816;1.2746891;1.2746891;1.2746891
1994;0;0.0721646;0.33285806;0.7811682;0.8419383;1.2705091;1.2705091;1.2705091
1995;0;0.07393812;0.3167796;0.9120584;0.8946335;1.3878459;1.3878459;1.3878459
1996;0;0.08673719;0.28980117;0.9840185;0.9363856;1.1015099;1.1015099;1.1015099
1997;0;0.08350864;0.27870159;0.926425;1.0533075;1.0996589;1.0996589;1.0996589
1998;0;0.07663383;0.31298524;0.8318264;1.173571;1.0758552;1.0758552;1.0758552
1999;0;0.06822204;0.33742821;0.8692614;1.2397922;1.2559194;1.2559194;1.2559194
2000;0;0.06235645;0.35438365;0.9415186;1.1662118;1.1807598;1.1807598;1.1807598
2001;0;0.05784892;0.36997177;0.9255142;1.2020463;1.188476;1.188476;1.188476
2002;0;0.05192201;0.37398643;0.8983366;1.1587153;1.0857127;1.0857127;1.0857127
2003;0;0.04930055;0.35350336;0.8128864;1.08975;0.9916238;0.9916238;0.9916238
2004;0;0.04498641;0.32715897;0.7357081;0.9883813;1.0691968;1.0691968;1.0691968
2005;0;0.0428979;0.32628643;0.6313326;0.8312319;1.0308607;1.0308607;1.0308607
2006;0;0.04080962;0.32513756;0.5978325;0.642704;0.8051343;0.8051343;0.8051343
2007;0;0.03825531;0.34292305;0.5482312;0.650944;0.7749505;0.7749505;0.7749505
2008;0;0.03536108;0.32052297;0.5549365;0.6140543;0.9433709;0.9433709;0.9433709
2009;0;0.03392645;0.32552821;0.536823;0.65739;1.0155715;1.0155715;1.0155715
2010;0;0.03438411;0.29147946;0.520573;0.703299;1.1408159;1.1408159;1.1408159
2011;0;0.03353891;0.26409896;0.5120061;0.6946382;1.033027;1.033027;1.033027
2012;0;0.03425093;0.2488684;0.4989126;0.715382;0.8247483;0.8247483;0.8247483
2013;0;0.03436213;0.24542577;0.4732896;0.6805605;0.9372233;0.9372233;0.9372233
2014;0;0.03435372;0.23329418;0.4315498;0.5511907;0.751804;0.751804;0.751804
2015;0;0.03380319;0.21884278;0.3849314;0.4303188;0.6746818;0.6746818;0.6746818
2016;0;0.03347626;0.19388094;0.3374475;0.360371;0.5934309;0.5934309;0.5934309
2017;0;0.03182044;0.16350998;0.2807576;0.2984852;0.5301992;0.5301992;0.5301992
2018;0;0.03247238;0.1247864;0.25385;0.2632047;0.4766307;0.4766307;0.4766307
2019;0;0.03372101;0.10543975;0.2551056;0.2503303;0.4097532;0.4097532;0.4097532
2020;0;0.0322567;0.09915327;0.2290521;0.2259057;0.3207788;0.3207788;0.3207788
2021;0;0.03085239;0.09084445;0.2102717;0.2054613;0.2516726;0.2516726;0.2516726
2022;0;0.02973589;0.08206499;0.1910173;0.1909989;0.1981237;0.1981237;0.1981237
2023;0;0.02904978;0.07639158;0.1788975;0.1807728;0.1762121;0.1762121;0.1762121
2024;0;0.02873751;0.07316034;0.1712387;0.1749206;0.1710191;0.1710191;0.1710191
