year;age0;age1;age2;age3;age4;age5;age6;age7
1985;0;0.016740367;0.170534414;0.6303852;0.75026291;0.7870054;0.7870054;0.7870054
1986;0;0.014838895;0.142739904;0.54540682;0.74769273;0.774911;0.774911;0.774911
1987;0;0.012742963;0.118785363;0.44498516;0.67501714;0.7164223;0.7164223;0.7164223
1988;0;0.011470003;0.08657226;0.37893077;0.5947047;0.6786705;0.6786705;0.6786705
1989;0;0.009942082;0.066843221;0.30867364;0.52764794;0.6046402;0.6046402;0.6046402
1990;0;0.009734207;0.066438577;0.27356594;0.48858907;0.6289569;0.6289569;0.6289569
1991;0;0.010403126;0.072759871;0.2460502;0.44191899;0.7167086;0.7167086;0.7167086
1992;0;0.010825873;0.07504065;0.2393434;0.38880241;0.8800417;0.8800417;0.8800417
1993;0;0.009928533;0.075944812;0.24046543;0.38101056;0.9062885;0.9062885;0.9062885
1994;0;0.00925297;0.078348534;0.27733995;0.36192446;0.8828809;0.8828809;0.8828809
1995;0;0.009219992;0.073226721;0.32975637;0.39259107;0.9560157;0.9560157;0.9560157
1996;0;0.011423248;0.06136309;0.3532936;0.3947876;0.7008626;0.7008626;0.7008626
1997;0;0.010822709;0.053954748;0.32560422;0.43496379;0.7024866;0.7024866;0.7024866
1998;0;0.009529135;0.062794121;0.29030051;0.49350954;0.6797434;0.6797434;0.6797434
1999;0;0.007952679;0.068046969;0.30185468;0.53555815;0.7900457;0.7900457;0.7900457
2000;0;0.007009466;0.070238308;0.31934434;0.48979126;0.7322801;0.7322801;0.7322801
2001;0;0.006347003;0.07276492;0.30188216;0.48526834;0.7419085;0.7419085;0.7419085
2002;0;0.005449538;0.072187417;0.27557339;0.43334508;0.6261759;0.6261759;0.6261759
2003;0;0.005113523;0.065802895;0.24161431;0.38077552;0.5702807;0.5702807;0.5702807
2004;0;0.004478647;0.057588042;0.21156106;0.35726641;0.6398481;0.6398481;0.6398481
2005;0;0.004229957;0.056120127;0.17585428;0.30061064;0.6128079;0.6128079;0.6128079
2006;0;0.004083334;0.055567486;0.16587554;0.23285594;0.4648126;0.4648126;0.4648126
2007;0;0.003918769;0.062585125;0.15627463;0.23961736;0.4665329;0.4665329;0.4665329
2008;0;0.003593755;0.065027134;0.16681178;0.23751035;0.6075641;0.6075641;0.6075641
2009;0;0.003266653;0.071328391;0.178705;0.26841858;0.6715413;0.6715413;0.6715413
2010;0;0.003147472;0.055346655;0.1765426;0.31224979;0.8093221;0.8093221;0.8093221
2011;0;0.002867052;0.04335894;0.15137939;0.32264257;0.7104329;0.7104329;0.7104329
2012;0;0.002880031;0.037364604;0.138796;0.30217572;0.5238303;0.5238303;0.5238303
2013;0;0.002864839;0.03550116;0.12587253;0.27654992;0.5900182;0.5900182;0.5900182
2014;0;0.002893321;0.0334267;0.11240219;0.21523579;0.4469208;0.4469208;0.4469208
2015;0;0.002899189;0.032077272;0.09807627;0.16251003;0.4196601;0.4196601;0.4196601
2016;0;0.002913667;0.029873816;0.0842608;0.13340947;0.3752315;0.3752315;0.3752315
2017;0;0.00265485;0.025260253;0.06883766;0.10751215;0.3466275;0.3466275;0.3466275
2018;0;0.00270772;0.017813685;0.05942445;0.09296236;0.3240603;0.3240603;0.3240603
2019;0;0.002853392;0.014272508;0.05869333;0.08699255;0.2864217;0.2864217;0.2864217
2020;0;0.002627697;0.01316115;0.05089276;0.07703606;0.2074352;0.2074352;0.2074352
2021;0;0.002419154;0.011779947;0.04569216;0.06878043;0.1546255;0.1546255;0.1546255
2022;0;0.002259293;0.010341059;0.04093648;0.06357647;0.1179176;0.1179176;0.1179176
2023;0;0.002163623;0.009444622;0.03805434;0.05999355;0.1055684;0.1055684;0.1055684
2024;0;0.002122483;0.008983423;0.03614365;0.05818672;0.1035947;0.1035947;0.1035947
