year;age0;age1;age2;age3;age4;age5;age6;age7
1985;0;0.16300327;0.6563936;1.2583522;1.3186245;1.0868467;1.0868467;1.0868467
1986;0;0.16021245;0.6463952;1.2216586;1.3336038;1.0956258;1.0956258;1.0956258
1987;0;0.15747384;0.6374276;1.1727272;1.2995531;1.0757411;1.0757411;1.0757411
1988;0;0.1560797;0.602869;1.157486;1.2700467;1.0700407;1.0700407;1.0700407
1989;0;0.14963965;0.577754;1.1255064;1.2754832;1.0452943;1.0452943;1.0452943
1990;0;0.14538508;0.5803415;1.1380231;1.3158824;1.1070662;1.1070662;1.1070662
1991;0;0.14344623;0.5768913;1.1257367;1.355639;1.2323047;1.2323047;1.2323047
1992;0;0.1408139;0.546666;1.0905899;1.3200649;1.3841731;1.3841731;1.3841731
1993;0;0.13490322;0.5177445;1.0285211;1.2629124;1.4254943;1.4254943;1.4254943
1994;0;0.13173871;0.5072997;1.0561561;1.1469454;1.426459;1.426459;1.426459
1995;0;0.13315358;0.4936377;1.1483631;1.1648211;1.4718282;1.4718282;1.4718282
1996;0;0.14374561;0.4782002;1.2089165;1.2035507;1.2803477;1.2803477;1.2803477
1997;0;0.1395777;0.4803889;1.1903006;1.3037764;1.2573711;1.2573711;1.2573711
1998;0;0.1316564;0.5126864;1.1317589;1.4095859;1.2468834;1.2468834;1.2468834
1999;0;0.12190661;0.5363832;1.1646532;1.4632838;1.3698772;1.3698772;1.3698772
2000;0;0.11384226;0.5510889;1.2183271;1.4312855;1.3277285;1.3277285;1.3277285
2001;0;0.10691707;0.5596321;1.1992261;1.4558567;1.3228029;1.3228029;1.3228029
2002;0;0.09871082;0.5587767;1.1686837;1.4329549;1.2610151;1.2610151;1.2610151
2003;0;0.09385563;0.5368541;1.0914922;1.3838565;1.1923634;1.1923634;1.1923634
2004;0;0.08783125;0.5126642;1.0076513;1.2794145;1.2305121;1.2305121;1.2305121
2005;0;0.08428546;0.5085353;0.9071178;1.1290489;1.1946713;1.1946713;1.1946713
2006;0;0.08081184;0.5061293;0.8617951;0.9601439;1.0332858;1.0332858;1.0332858
2007;0;0.0771259;0.5124329;0.8108462;0.9548012;1.0026562;1.0026562;1.0026562
2008;0;0.07336333;0.4823309;0.8005681;0.9182509;1.126626;1.126626;1.126626
2009;0;0.07134593;0.4730993;0.7608992;0.9388375;1.1939012;1.1939012;1.1939012
2010;0;0.07184508;0.4442764;0.7388145;0.9479549;1.2571616;1.2571616;1.2571616
2011;0;0.07127951;0.4244584;0.7411189;0.924213;1.1715365;1.1715365;1.1715365
2012;0;0.07246328;0.4117705;0.7366517;0.9477753;1.026585;1.026585;1.026585
2013;0;0.07314549;0.4083929;0.7212695;0.9219489;1.0941944;1.0941944;1.0941944
2014;0;0.07377881;0.3959008;0.6881235;0.8187835;0.9727619;0.9727619;0.9727619
2015;0;0.07383871;0.3794541;0.6489908;0.708993;0.9012542;0.9012542;0.9012542
2016;0;0.0741002;0.348505;0.6065739;0.633956;0.8340301;0.8340301;0.8340301
2017;0;0.07295311;0.3123341;0.5423551;0.5612685;0.7780254;0.7780254;0.7780254
2018;0;0.07438211;0.2698023;0.5139695;0.511303;0.7254217;0.7254217;0.7254217
2019;0;0.0764645;0.2469535;0.516478;0.4896062;0.6598659;0.6598659;0.6598659
2020;0;0.07540395;0.2412758;0.4965411;0.4626289;0.5909846;0.5909846;0.5909846
2021;0;0.07428993;0.2322083;0.4822113;0.4402495;0.5226905;0.5226905;0.5226905
2022;0;0.07334597;0.2216875;0.4617299;0.4225924;0.4594594;0.4594594;0.4594594
2023;0;0.07274005;0.2143828;0.4475224;0.4097263;0.426275;0.426275;0.426275
2024;0;0.07240148;0.2094892;0.4394847;0.4007661;0.4160436;0.4160436;0.4160436
