year;age0;age1;age2;age3;age4;age5;age6;age7+
1985;1.0663485;0.4838212;0.5780593;0.4556964;0.991154;0.8717815;0.7885824;0.201
1986;0.9266704;0.4204468;0.6661247;0.5251202;0.4424018;0.3891199;0.3519839;0.201
1987;0.8540497;0.3874975;0.7164741;0.5648117;0.3207923;0.2821567;0.2552289;0.201
1988;0.7816582;0.3546522;0.7613121;0.6001584;0.2953026;0.2597369;0.2349488;0.201
1989;0.6786509;0.3079159;0.8384776;0.6609896;0.3172111;0.2790069;0.2523797;0.201
1990;0.5857783;0.265778;0.8418971;0.6636853;0.3907314;0.3436725;0.3108739;0.201
1991;0.518002;0.2350267;0.7688398;0.6060927;0.5883584;0.5174977;0.46811;0.201
1992;0.4806062;0.2180596;0.6655998;0.5247064;0.8067876;0.7096198;0.6418967;0.201
1993;0.4463973;0.2025384;0.5760922;0.4541457;0.8335722;0.7331785;0.6632071;0.201
1994;0.4220523;0.1914926;0.5541945;0.4368833;0.5283123;0.4646835;0.4203361;0.201
1995;0.4171553;0.1892708;0.581699;0.4585656;0.4146693;0.3647274;0.3299194;0.201
1996;0.4246442;0.1926686;0.7161171;0.5645303;0.3762996;0.3309789;0.2993917;0.201
1997;0.4223455;0.1916256;1.0333492;0.8146111;0.3881952;0.3414418;0.308856;0.201
1998;0.4337616;0.1968053;0.9481376;0.7474369;0.3768438;0.3314575;0.2998246;0.201
1999;0.4478802;0.2032112;0.8893263;0.7010747;0.3953959;0.3477753;0.3145851;0.201
2000;0.4667986;0.2117948;0.9151502;0.7214323;0.3731369;0.328197;0.2968753;0.201
2001;0.4870779;0.2209959;0.8342475;0.6576549;0.371536;0.3267889;0.2956016;0.201
2002;0.5209445;0.2363618;0.7876566;0.6209264;0.4133179;0.3635388;0.3288442;0.201
2003;0.5559259;0.2522335;0.6536804;0.5153101;0.5095459;0.4481772;0.4054051;0.201
2004;0.6255816;0.2838375;0.5513186;0.4346161;0.5582444;0.4910106;0.4441507;0.201
2005;0.7183859;0.3259444;0.5109483;0.4027914;0.5639602;0.496038;0.4486983;0.201
2006;0.8299219;0.3765503;0.4887956;0.3853279;0.4820615;0.424003;0.383538;0.201
2007;0.8818078;0.4000918;0.4462958;0.3518244;0.6333006;0.5570272;0.5038669;0.201
2008;0.8513474;0.3862714;0.3450457;0.2720068;0.8213623;0.7224391;0.6534927;0.201
2009;0.9304088;0.422143;0.2501471;0.1971963;1.0357225;0.9109822;0.824042;0.201
2010;0.9763442;0.4429847;0.2599278;0.2049066;0.7080504;0.6227743;0.5633394;0.201
2011;1.0230689;0.4641845;0.3338331;0.2631677;0.4041177;0.3554466;0.3215243;0.201
2012;1.0396832;0.4717227;0.3747426;0.2954175;0.4665148;0.4103287;0.3711687;0.201
2013;1.1103377;0.5037799;0.4090793;0.3224858;0.7014912;0.617005;0.5581207;0.201
2014;1.2030038;0.5458242;0.4208315;0.3317504;0.8769297;0.7713141;0.6977032;0.201
2015;1.250404;0.5673305;0.4307743;0.3395885;0.860693;0.7570329;0.6847849;0.201
2016;1.1517328;0.5225616;0.3750328;0.2956463;1.1203765;0.9854407;0.8913945;0.201
2017;1.2294419;0.5578196;0.3264538;0.2573505;1.4245298;1.2529624;1.133385;0.201
2018;1.1855123;0.537888;0.3681891;0.2902513;1.6485714;1.4500209;1.3116371;0.201
2019;1.1064264;0.5020053;0.4752543;0.3746531;1.2490369;1.0986054;0.9937592;0.201
2020;0.9771908;0.4433688;0.6320896;0.4982896;1.7098464;1.503916;1.3603888;0.201
2021;0.8446985;0.3832547;1.0513613;0.8288104;1.5405706;1.3550274;1.2257094;0.201
2022;0.7566372;0.3432997;1.545872;1.2186436;1.9874926;1.7481231;1.5812898;0.201
2023;0.7087604;0.3215772;2.3760447;1.8730863;2.1466788;1.8881372;1.7079416;0.201
2024;0.6756879;0.3065716;2.6093112;2.0569753;2.132398;1.8755764;1.6965794;0.201
