year;age0;age1;age2;age3;age4;age5;age6;age7
1985;1.711547;0.7765593;1.0102938;0.796436;1.2608841;1.1090258;1.0031851;0.201
1986;1.776374;0.8059726;1.4227029;1.1215468;0.8803673;0.7743377;0.7004382;0.201
1987;1.822317;0.8268174;1.6207722;1.2776891;0.7559402;0.6648963;0.6014415;0.201
1988;1.830988;0.8307516;1.7339713;1.3669263;0.7588786;0.6674808;0.6037793;0.201
1989;1.750403;0.7941888;1.9723665;1.5548582;0.8429346;0.7414133;0.670656;0.201
1990;1.665894;0.7558455;2.0350727;1.6042909;1.0139088;0.8917957;0.8066866;0.201
1991;1.608994;0.730029;1.8788605;1.4811455;1.5348168;1.3499666;1.2211316;0.201
1992;1.596345;0.72429;1.6133922;1.2718712;2.0183621;1.7752747;1.6058501;0.201
1993;1.568595;0.7116996;1.3809632;1.0886425;2.0923219;1.8403269;1.6646941;0.201
1994;1.547973;0.702343;1.3260597;1.0453609;1.2500804;1.0995233;0.9945895;0.201
1995;1.568554;0.7116806;1.3361693;1.0533305;1.0844146;0.95381;0.8627825;0.201
1996;1.616714;0.7335316;1.5449333;1.2179036;1.0775315;0.9477558;0.8573061;0.201
1997;1.612237;0.7315006;2.2149289;1.7460754;1.233625;1.0850498;0.9814973;0.201
1998;1.640923;0.7445159;1.8836821;1.4849465;1.2209047;1.0738614;0.9713767;0.201
1999;1.6641;0.7550317;1.7834856;1.4059595;1.3728562;1.2075122;1.0922725;0.201
2000;1.689199;0.7664196;1.8971946;1.4955987;1.2401748;1.0908107;0.9867085;0.201
2001;1.701478;0.7719906;1.7620723;1.3890789;1.1778141;1.0359606;0.937093;0.201
2002;1.74039;0.789646;1.7954203;1.4153678;1.2757564;1.1221069;1.0150179;0.201
2003;1.762635;0.7997387;1.5636272;1.2326404;1.5585196;1.3708146;1.23999;0.201
2004;1.870723;0.84878;1.3937733;1.098741;1.5727812;1.3833587;1.2513369;0.201
2005;2.046013;0.9283123;1.402725;1.1057978;1.476872;1.2990005;1.1750295;0.201
2006;2.302474;1.0446733;1.483822;1.1697283;1.1109804;0.9771762;0.8839188;0.201
2007;2.346345;1.0645783;1.5048971;1.1863422;1.4148854;1.2444795;1.1257117;0.201
2008;2.110095;0.9573875;1.1418573;0.9001503;1.6398684;1.442366;1.3047128;0.201
2009;2.199957;0.9981594;0.7480148;0.5896759;2.0052338;1.7637275;1.595405;0.201
2010;2.213133;1.0041378;0.8259684;0.6511284;1.4593842;1.283619;1.1611159;0.201
2011;2.239639;1.0161639;1.2314249;0.9707583;0.8528775;0.7501587;0.6785668;0.201
2012;2.211307;1.0033094;1.3841336;1.0911418;1.0257257;0.9021894;0.8160883;0.201
2013;2.296484;1.0419556;1.4975275;1.1805326;1.4735722;1.2960982;1.1724042;0.201
2014;2.456536;1.1145739;1.4786521;1.1656527;1.6811465;1.4786726;1.3375545;0.201
2015;2.573012;1.1674214;1.5021455;1.1841731;1.5370874;1.3519638;1.2229382;0.201
2016;2.33987;1.0616407;1.1541274;0.9098231;1.849245;1.6265257;1.4712971;0.201
2017;2.579979;1.1705822;0.8737163;0.688769;2.1428347;1.8847561;1.7048831;0.201
2018;2.548136;1.1561347;0.9255846;0.7296579;2.3663603;2.0813607;1.8827246;0.201
2019;2.425485;1.1004857;1.0970383;0.8648185;1.8807031;1.6541951;1.4963258;0.201
2020;2.200382;0.9983525;1.2545628;0.9889984;2.4660243;2.1690214;1.9620193;0.201
2021;2.006846;0.9105416;1.8087208;1.4258529;2.3032135;2.0258192;1.8324837;0.201
2022;1.926087;0.8738996;2.2970327;1.8107995;2.9476769;2.5926647;2.345232;0.201
2023;1.93121;0.8762242;3.2253301;2.542596;3.2726265;2.8784781;2.6037685;0.201
2024;1.982654;0.8995654;3.931278;3.0991097;3.8011957;3.3433874;3.0243089;0.201
2025;1.982654;0.8995654;3.931278;3.0991097;3.8011957;3.3433874;3.0243089;0.201
