year;age0;age1;age2;age3;age4;age5;age6;age7+
1985;0.6643691;0.30143606;0.33074787;0.26073555;0.779125;0.68528877;0.61988776;0.201
1986;0.4834105;0.21933191;0.31188666;0.24586685;0.2223156;0.19554036;0.17687884;0.201
1987;0.4002603;0.18160518;0.31672257;0.2496791;0.1361321;0.1197366;0.10830945;0.201
1988;0.333694;0.15140289;0.33425932;0.2635037;0.1149112;0.10107149;0.09142566;0.201
1989;0.2631206;0.11938248;0.35644728;0.28099494;0.1193721;0.10499519;0.0949749;0.201
1990;0.2059773;0.09345554;0.34828765;0.27456253;0.1505767;0.13244156;0.11980191;0.201
1991;0.1667664;0.07566486;0.31461337;0.24801638;0.225542;0.19837818;0.17944582;0.201
1992;0.1446945;0.06565046;0.27459107;0.21646595;0.3224923;0.28365201;0.25658149;0.201
1993;0.1270376;0.05763921;0.24032667;0.1894546;0.3320917;0.29209521;0.26421891;0.201
1994;0.1150718;0.05221013;0.23161219;0.18258479;0.2232768;0.19638579;0.17764357;0.201
1995;0.1109421;0.05033638;0.25324166;0.19963576;0.1585654;0.13946813;0.12615789;0.201
1996;0.1115366;0.05060612;0.33193908;0.2616746;0.1314128;0.1155857;0.1045547;0.201
1997;0.1106386;0.05019871;0.48209702;0.38004729;0.1221567;0.10744437;0.09719034;0.201
1998;0.1146605;0.05202353;0.47723813;0.37621692;0.1163164;0.10230747;0.09254369;0.201
1999;0.1205436;0.05469279;0.44345817;0.34958746;0.1138779;0.10016266;0.09060357;0.201
2000;0.1289966;0.05852804;0.4414412;0.34799744;0.1122673;0.09874609;0.08932219;0.201
2001;0.1394346;0.06326395;0.39497179;0.31136462;0.1171993;0.10308403;0.09324614;0.201
2002;0.1559324;0.07074928;0.34554746;0.27240238;0.1339062;0.11777883;0.10653852;0.201
2003;0.1753362;0.07955314;0.27327365;0.2154274;0.1665921;0.14652806;0.13254405;0.201
2004;0.2091985;0.09491706;0.21807862;0.17191599;0.1981438;0.17427975;0.15764724;0.201
2005;0.2522361;0.11444399;0.186115;0.14671839;0.2153546;0.1894177;0.17134049;0.201
2006;0.2991436;0.13572677;0.16101736;0.12693339;0.2091696;0.18397762;0.16641959;0.201
2007;0.3314027;0.15036328;0.13235451;0.10433786;0.2834644;0.24932455;0.22553009;0.201
2008;0.3434881;0.15584664;0.1042657;0.08219486;0.4113965;0.36184872;0.32731544;0.201
2009;0.3934898;0.1785333;0.08365287;0.06594533;0.5349606;0.47053102;0.42562557;0.201
2010;0.4307233;0.19542683;0.08179784;0.06448297;0.3435253;0.30215184;0.27331577;0.201
2011;0.4673387;0.21203986;0.09050047;0.07134344;0.1914825;0.16842072;0.15234738;0.201
2012;0.4888244;0.22178833;0.10145843;0.07998183;0.2121776;0.1866234;0.16881287;0.201
2013;0.5368423;0.2435749;0.11174809;0.08809339;0.3339435;0.29372402;0.26569226;0.201
2014;0.5891297;0.26729858;0.1197707;0.09441778;0.4574293;0.40233745;0.3639401;0.201
2015;0.6076575;0.275705;0.12353432;0.09738472;0.4819455;0.42390097;0.38344569;0.201
2016;0.5669068;0.25721568;0.12186659;0.09607001;0.6787871;0.59703535;0.54005687;0.201
2017;0.5858681;0.26581877;0.12197564;0.09615598;0.9470097;0.83295378;0.75346026;0.201
2018;0.5515558;0.25025068;0.14646231;0.11545934;1.1485097;1.01018553;0.91377779;0.201
2019;0.5047152;0.22899826;0.20588769;0.16230563;0.8295265;0.72962003;0.65998824;0.201
2020;0.4339708;0.19690028;0.31846734;0.25105454;1.1855418;1.04275755;0.94324127;0.201
2021;0.3555408;0.16131517;0.6111284;0.48176545;1.0304549;0.90634905;0.819851;0.201
2022;0.2972347;0.13486067;1.04035103;0.82013074;1.3400814;1.17868475;1.06619616;0.201
2023;0.2601174;0.11801988;1.75039087;1.37987018;1.4081136;1.2385233;1.12032398;0.201
2024;0.2302742;0.10447949;1.73188085;1.36527834;1.1962345;1.05216244;0.9517486;0.201
