year;age0;age1;age2;age3;age4;age5;age6;age7
1985;406166.4;52542.642;28823.642;23991.293;6914.5303;1770.25542;495.01056;224.008628
1986;136539.48;142588.004;28696.516;9741.515;5064.1895;844.96826;285.34935;150.28587
1987;56730.74;53846.92;86636.031;9179.53;2051.4735;994.9364;211.328048;118.592313
1988;60615.82;23744.054;33702.845;26238.512;2087.0757;492.12001;280.635573;101.467877
1989;74572.88;27670.589;14518.054;10887.597;5706.5478;556.48932;148.04472;115.442967
1990;105310.06;37737.47;19087.262;4522.705;2549.8766;1499.09542;179.736475;88.715228
1991;174525.96;58455.248;27175.846;5783.088;1018.0594;614.75203;419.692711;84.513199
1992;61507.65;106892.799;42193.084;8363.109;1417.4776;190.68793;131.343045;115.417558
1993;143237.61;36770.706;78658.249;15028.306;2216.8107;235.72923;25.376617;48.111575
1994;273560.12;91988.47;27476.965;32204.58;4914.5547;356.6856;30.4331;14.939919
1995;76370.94;185665.154;73530.748;10986.492;9920.2896;1378.86771;69.281211;8.304909
1996;229957.2;48221.683;159411.27;30207.576;2672.8197;2708.47245;250.720652;12.524605
1997;331167.43;152394.493;31235.206;62166.293;6009.1871;729.96642;622.174228;72.391815
1998;126535.57;222308.689;113411.249;8572.71;10582.8912;1392.71905;180.212028;168.335799
1999;130453.26;80557.079;165566.94;31937.922;1919.0748;2180.89322;341.974205;98.376316
2000;84608.41;85369.242;59519.712;46518.545;6862.4371;373.34884;433.709863;90.88701
2001;168428.82;54773.205;67298.36;16468.36;8805.114;1569.93339;84.004044;121.147681
2002;51999.46;105467.35;42424.093;20028.848;3289.8217;1779.54871;370.344306;45.40034
2003;203205.82;30787.874;80628.298;12748.001;3952.243;683.34102;410.783168;104.432513
2004;69980.28;120732.61;21584.531;28433.511;3371.4443;758.06103;171.322095;134.043939
2005;75649.91;37397.691;90003.814;8436.477;8310.7654;732.27151;155.860291;75.343789
2006;30795.27;38531.759;25636.823;37868.925;2996.3762;1959.1342;161.897539;52.243709
2007;14859.44;13408.568;24678.232;11711.13;12804.9199;1087.93672;583.553686;68.791519
2008;112266.31;6184.281;9024.576;10359.019;4957.388;3125.73692;322.566369;195.795412
2009;46723.59;48136.921;5195.583;5193.154;4404.4747;1262.02543;556.290936;130.04889
2010;78969.41;18145.277;31384.077;3488.029;2521.9199;816.09355;197.577783;122.022953
2011;67552.22;29027.059;10961.724;17687.674;2020.9348;613.31502;134.525093;66.940168
2012;173124.54;23820.839;17288.487;6142.284;7377.5972;826.65313;161.479078;49.475341
2013;109984.48;61677.283;14022.399;9313.44;2752.777;2151.07275;274.442308;72.899979
2014;80950.23;35917.436;35896.968;7118.423;4122.8968;654.6966;451.881711;81.227371
2015;18852.39;24178.232;19558.674;18164.287;3197.5881;946.713;140.720801;138.247791
2016;252848.86;5122.129;13571.505;9296.567;8632.9933;885.71011;221.939579;92.050908
2017;12099.48;82703.572;3055.722;8107.548;5015.122;1853.92927;186.111726;88.841382
2018;18215.1;3553.21;46675.244;1784.868;5006.9129;919.08837;311.563675;74.43778
2019;40415.82;5516.253;1954.678;28876.833;1126.421;760.57184;138.73781;82.691865
2020;48838;13305.035;3127.445;1098.294;16460.5414;253.37689;163.669197;74.552824
2021;67638.6;18322.001;8299.133;1483.955;524.9463;2424.89554;40.806678;70.65692
2022;114365.27;28516.003;11883.049;2682.81;532.0386;91.16843;473.286158;52.022908
2023;54054.75;52084.24;18647.021;2393.685;669.4376;60.66758;13.039043;112.560032
2024;69822.82;25636.381;35270.707;1590.447;312.7195;64.75295;7.706669;80.871839
