year;age0;age1;age2;age3;age4;age5;age6;age7
1985;4942390.7;242490.48;66534.48;34750.242;9448.0279;2328.08206;593.046091;245.30445
1986;2804628.2;899608.32;106319.47;19583.507;8118.1034;1263.71832;356.550371;186.03335
1987;1852503.2;473680.95;395724.49;21595.647;3565.2673;1545.07356;268.999552;149.43249
1988;2452466.2;296568.75;206661.96;67259.53;3818.6841;832.5041;382.222911;131.49714
1989;2592064.4;394256.81;125295.92;34264.432;11366.9252;982.24666;216.117651;155.78922
1990;2823432.1;450062.67;182662.75;17056.773;5509.3616;2855.77501;259.590477;129.2233
1991;4081704.7;531587.07;214038.68;23640.396;2708.961;1248.15376;627.319578;119.49567
1992;1369130.4;833514.97;250788.36;30580.404;4473.6564;382.55499;165.402885;135.94964
1993;3438510.3;269753.31;394598.5;45668.766;6828.506;430.23002;27.200614;58.83149
1994;8496596.8;716533.28;128028.39;91286.377;12330.8795;576.76153;28.726133;21.03826
1995;2918660.3;1857464.29;357968.87;30004.707;24356.5932;2565.92598;86.670395;10.82023
1996;7588844.7;591165.52;982375.83;86499.255;7112.7011;5478.85789;393.01661;16.31836
1997;10766880.6;1519550.3;253508.49;206932.55;16774.6882;1608.45008;1027.835642;95.04134
1998;4696295.9;2182974.43;706501.31;26933.872;25592.9452;3075.72249;276.537339;224.29008
1999;5108220.2;898621.42;1001798.47;99239.652;4858.8069;4529.73401;538.045727;147.81668
2000;3435417.8;977713.51;402817.86;148890.392;18017.148;728.02978;617.312184;131.95238
2001;6743838.5;648290.3;457266.1;54525.393;23214.7338;3295.44495;121.217642;158.87093
2002;2123308.8;1236583.71;301346.56;72213.591;9642.792;4229.55842;589.636096;78.78037
2003;9037871.2;369713.96;552385.18;45465.369;12479.0586;1733.55533;730.558063;149.64097
2004;3654093.6;1587287.72;155106.29;103152.011;10388.7226;1759.31529;261.859426;186.06708
2005;4236564.2;565920.89;688933.02;34029.762;26025.9807;1544.57435;236.635676;116.5092
2006;1533978.6;571200.81;225529.41;156324.014;9177.2214;4191.47083;236.056026;85.17233
2007;569248.9;152325.18;196967.97;51101.556;38235.2233;2515.83056;1001.282721;104.75913
2008;4355741.6;53597.37;52590.76;39129.365;14225.4561;6718.008;489.922331;260.75069
2009;2365333.6;520236.51;23669.21;15973.819;13325.4821;2338.61595;844.991052;186.61114
2010;4392048.7;260077.82;187016.15;11089.714;7069.9423;1392.54845;221.410791;159.29363
2011;3726917;474035.28;94511.87;72413.536;5132.0205;1154.2967;170.97124;87.19667
2012;9439973.5;395084.93;172085.24;27140.179;20985.4746;1752.24115;272.197001;72.88795
2013;5893019.7;1048383.43;146355.09;43206.073;7979.3545;5228.43239;457.682501;110.58368
2014;4021010.5;594326.74;379242.4;32529.391;11938.5788;1362.99836;791.947424;124.4674
2015;854590.9;343650.46;195991.33;86842.414;9194.5582;1793.81686;201.650518;196.92091
2016;12500186.3;62265.66;108672.58;41325.275;25109.8002;1736.89964;311.064974;141.47468
2017;728107.2;1237678.68;21916.55;34320.834;15987.5161;3481.46573;246.20686;125.67312
2018;1089073.8;56000.21;386871.76;8590.246;16704.0764;1758.6854;392.226851;101.69158
2019;2388687.7;85115.32;17379.34;151523.657;4135.1416;1447.54896;168.999871;100.04069
2020;2645458.2;212027.91;27910.69;5723.817;64262.7442;583.7929;207.417001;88.05355
2021;3556830.2;293442.71;79625.48;7869.634;2030.5166;5347.87911;54.630794;81.31503
2022;5945036.4;473043.23;117955.45;13326.911;1874.473;189.39525;613.505732;64.29847
2023;2636821.8;849217.55;192091.28;12259.986;2205.129;93.05715;12.604782;101.4725
2024;3496711.9;369289.54;348823.41;7692.331;973.7006;79.00918;4.70928;78.41853
