year;age0;age1;age2;age3;age4;age5;age6;age7
1985;147351.609;31360.024;21345.7133;20344.9918;5809.4929;1500.15205;444.835353;214.733367
1986;44968.869;78322.183;19130.6771;7790.0731;4317.1031;721.12371;261.788228;137.507513
1987;17889.768;27531.41;55088.0675;7236.3252;1762.8227;869.46306;195.76977;109.802871
1988;18415.571;11681.805;19777.3269;20333.3702;1790.6883;418.58871;253.795667;92.989484
1989;25030.128;13090.945;7930.2254;7927.6547;4764.1987;464.77671;130.272563;102.585149
1990;39753.756;19157.818;10170.7126;3181.7382;2044.0176;1204.50709;154.501303;74.695784
1991;70478.382;32256.732;15442.2136;3997.2138;761.5037;477.59012;351.112885;71.570014
1992;26529.146;62228.672;25613.3291;5997.009;986.9659;147.27351;117.368512;104.167247
1993;58292.264;21876.613;50322.612;11182.8097;1545.224;186.23296;24.521095;45.568744
1994;100899.836;51673.243;17893.0645;24686.1751;3642.0214;292.63237;30.3676;14.0124
1995;28947.586;94451.685;45933.7749;8417.1224;7763.311;1080.05026;64.409471;7.932967
1996;85223.761;24313.287;92131.0246;22519.2306;2099.3662;2161.93969;226.396785;12.132876
1997;123937.833;77710.063;15857.523;44778.7482;4763.5602;579.32974;519.500791;68.489467
1998;46388.878;115142.17;62086.3969;6148.8603;8763.67;1130.27801;158.495537;148.722901
1999;45787.414;40283.652;92477.0205;22728.0564;1521.4116;1802.25926;296.208253;85.619509
2000;29333.269;42353.112;32289.6192;32537.6868;5310.117;312.90321;403.141709;83.30537
2001;58710.62;27033.77;37897.471;11701.901;6928.615;1250.88891;76.320295;115.95005
2002;18599.225;53287.704;23629.5837;14465.8362;2513.2866;1404.18889;327.207653;39.692879
2003;67071.186;15968.455;47538.1668;8935.2926;2966.5524;527.47526;346.802836;94.973681
2004;21712.745;60009.673;12823.1352;20552.4678;2404.8265;580.70421;148.763891;118.814525
2005;22213.164;17630.871;54018.5099;5804.5801;5954.2429;561.42225;135.506355;66.702258
2006;8559.835;18454.548;14426.7587;26697.6214;2074.5633;1487.15295;141.229131;44.858375
2007;3899.129;6367.113;14506.8437;7706.4562;8875.3921;771.65886;459.124267;56.588262
2008;32947.563;2783.941;5528.8145;6914.7111;3214.1289;2211.81983;261.774598;164.201542
2009;12907.363;24080.949;3175.1213;3735.3322;2749.9499;915.3863;454.573543;110.090425
2010;20658.458;8536.549;20596.6059;2368.0616;1699.631;632.34601;185.029224;111.862802
2011;17330.263;13053.515;6401.0075;12624.9134;1380.889;474.82231;123.136439;64.340831
2012;42641.375;10552.923;9728.7887;4033.5048;5057.2801;611.83699;135.076634;43.309008
2013;26351.315;26490.608;7655.7128;5984.8477;1774.6407;1497.51672;218.494157;61.956448
2014;17985.991;15196.526;19277.9719;4437.8002;2591.7581;465.03765;364.161677;68.794208
2015;4250.026;9831.906;10331.2331;10974.9694;1913.1081;672.45055;113.190016;118.332399
2016;54268.633;2111.83;7091.7729;5326.5868;4983.8565;578.93083;170.622488;70.329386
2017;2535.799;32282.94;1588.3535;4721.9815;2609.1714;1197.85476;138.247225;66.488692
2018;3769.25;1394.684;23216.9586;951.5744;2621.2543;572.61387;228.493198;52.6717
2019;8186.804;2118.63;948.6651;15311.6081;558.2763;502.1557;100.930851;58.543572
2020;10398.752;4837.191;1463.3836;607.7431;8430.8863;147.76746;118.026809;48.113258
2021;14952.144;6629.275;3576.1531;803.3951;277.7095;1586.39565;28.293638;43.583968
2022;26630.305;10090.033;4905.411;1502.5885;302.2264;62.48927;349.136843;26.769294
2023;15030.637;18813.547;7291.7123;1366.2301;412.1108;51.32102;12.174202;84.533393
2024;19908.703;11141.541;14134.455;953.6281;218.6891;64.34229;9.729594;48.269897
