year;age0;age1;age2;age3;age4;age5;age6;age7
1985;0;0.096;0.541;1.103;1.266;1.123;1.123;1.123
1986;0;0.095;0.539;1.095;1.257;1.117;1.117;1.117
1987;0;0.095;0.535;1.085;1.243;1.108;1.108;1.108
1988;0;0.094;0.527;1.081;1.233;1.111;1.111;1.111
1989;0;0.093;0.519;1.075;1.232;1.118;1.118;1.118
1990;0;0.091;0.516;1.077;1.242;1.152;1.152;1.152
1991;0;0.09;0.511;1.072;1.25;1.204;1.204;1.204
1992;0;0.089;0.501;1.062;1.241;1.256;1.256;1.256
1993;0;0.087;0.492;1.047;1.223;1.275;1.275;1.275
1994;0;0.086;0.487;1.051;1.192;1.278;1.278;1.278
1995;0;0.085;0.483;1.071;1.189;1.286;1.286;1.286
1996;0;0.086;0.48;1.087;1.196;1.239;1.239;1.239
1997;0;0.084;0.48;1.09;1.219;1.226;1.226;1.226
1998;0;0.082;0.487;1.083;1.246;1.22;1.22;1.22
1999;0;0.079;0.49;1.09;1.265;1.243;1.243;1.243
2000;0;0.077;0.489;1.092;1.262;1.233;1.233;1.233
2001;0;0.075;0.486;1.073;1.26;1.229;1.229;1.229
2002;0;0.072;0.479;1.045;1.244;1.21;1.21;1.21
2003;0;0.07;0.467;1.006;1.218;1.188;1.188;1.188
2004;0;0.068;0.455;0.963;1.182;1.19;1.19;1.19
2005;0;0.066;0.446;0.919;1.133;1.177;1.177;1.177
2006;0;0.065;0.439;0.887;1.081;1.138;1.138;1.138
2007;0;0.063;0.433;0.859;1.068;1.134;1.134;1.134
2008;0;0.062;0.422;0.841;1.054;1.172;1.172;1.172
2009;0;0.061;0.414;0.819;1.053;1.196;1.196;1.196
2010;0;0.06;0.4;0.803;1.049;1.212;1.212;1.212
2011;0;0.06;0.39;0.793;1.04;1.194;1.194;1.194
2012;0;0.06;0.382;0.788;1.043;1.165;1.165;1.165
2013;0;0.06;0.377;0.785;1.041;1.191;1.191;1.191
2014;0;0.06;0.372;0.78;1.021;1.175;1.175;1.175
2015;0;0.06;0.366;0.776;1;1.177;1.177;1.177
2016;0;0.06;0.358;0.772;0.988;1.187;1.187;1.187
2017;0;0.06;0.348;0.758;0.973;1.206;1.206;1.206
2018;0;0.06;0.337;0.753;0.959;1.223;1.223;1.223
2019;0;0.061;0.332;0.759;0.955;1.229;1.229;1.229
2020;0;0.06;0.334;0.759;0.951;1.239;1.239;1.239
2021;0;0.06;0.335;0.762;0.947;1.237;1.237;1.237
2022;0;0.06;0.335;0.76;0.942;1.224;1.224;1.224
2023;0;0.06;0.335;0.76;0.937;1.213;1.213;1.213
2024;0;0.06;0.335;0.761;0.937;1.213;1.213;1.213
