year;age0;age1;age2;age3;age4;age5;age6;age7
1985;1.665;0.755;0.999;0.788;1.232;1.084;0.98;0.201
1986;1.723;0.782;1.172;0.924;0.805;0.708;0.64;0.201
1987;1.786;0.81;1.198;0.944;0.661;0.581;0.526;0.201
1988;1.811;0.822;1.232;0.971;0.65;0.572;0.517;0.201
1989;1.7;0.772;1.386;1.093;0.706;0.621;0.562;0.201
1990;1.588;0.721;1.413;1.114;0.829;0.73;0.66;0.201
1991;1.521;0.69;1.266;0.998;1.224;1.076;0.974;0.201
1992;1.502;0.682;1.038;0.818;1.599;1.406;1.272;0.201
1993;1.475;0.669;0.86;0.678;1.655;1.456;1.317;0.201
1994;1.459;0.662;0.827;0.652;0.973;0.856;0.774;0.201
1995;1.48;0.671;0.85;0.67;0.774;0.681;0.616;0.201
1996;1.533;0.695;1.01;0.796;0.698;0.614;0.556;0.201
1997;1.516;0.688;1.534;1.21;0.733;0.645;0.583;0.201
1998;1.535;0.696;1.291;1.018;0.717;0.631;0.571;0.201
1999;1.545;0.701;1.18;0.931;0.769;0.676;0.612;0.201
2000;1.555;0.705;1.235;0.973;0.686;0.603;0.546;0.201
2001;1.552;0.704;1.125;0.887;0.667;0.587;0.531;0.201
2002;1.576;0.715;1.111;0.876;0.75;0.66;0.597;0.201
2003;1.589;0.721;0.922;0.727;0.978;0.86;0.778;0.201
2004;1.676;0.76;0.801;0.632;1.053;0.926;0.837;0.201
2005;1.815;0.824;0.812;0.64;0.993;0.874;0.79;0.201
2006;2.011;0.912;0.867;0.683;0.758;0.667;0.603;0.201
2007;2.003;0.909;0.831;0.655;0.977;0.859;0.777;0.201
2008;1.823;0.827;0.593;0.468;1.221;1.074;0.971;0.201
2009;1.919;0.871;0.388;0.306;1.528;1.344;1.216;0.201
2010;1.96;0.889;0.422;0.333;1.043;0.917;0.83;0.201
2011;1.998;0.907;0.629;0.496;0.586;0.515;0.466;0.201
2012;1.992;0.904;0.74;0.583;0.678;0.597;0.54;0.201
2013;2.076;0.942;0.818;0.645;1.005;0.884;0.8;0.201
2014;2.212;1.004;0.847;0.667;1.204;1.059;0.958;0.201
2015;2.3;1.043;0.925;0.729;1.141;1.003;0.907;0.201
2016;2.115;0.96;0.753;0.594;1.437;1.264;1.143;0.201
2017;2.315;1.05;0.583;0.46;1.726;1.518;1.373;0.201
2018;2.309;1.048;0.657;0.518;1.933;1.7;1.538;0.201
2019;2.246;1.019;0.847;0.668;1.57;1.381;1.249;0.201
2020;2.058;0.934;1.015;0.8;2.062;1.814;1.641;0.201
2021;1.878;0.852;1.603;1.263;1.955;1.72;1.556;0.201
2022;1.798;0.816;2.07;1.632;2.258;1.986;1.797;0.201
2023;1.788;0.811;2.803;2.21;2.263;1.99;1.8;0.201
2024;1.835;0.832;2.942;2.319;2.356;2.072;1.874;0.201
