Year;Recruits_0;SSB;Recruits_1
1985;458813;35418;49263
1986;168753;24886;130365
1987;80056;26275;44489
1988;86114;27817;20407
1989;131928;19838;22569
1990;224789;13538;35090
1991;408091;11755;59942
1992;176923;13957;118980
1993;346339;22678;43282
1994;525102;32490;94129
1995;190257;36116;153089
1996;482134;46991;45345
1997;710388;50201;133298
1998;278039;37021;205804
1999;250229;40344;70815
2000;163073;37937;72773
2001;325368;34808;47910
2002;109769;31636;96514
2003;352906;28360;29895
2004;117035;28000;108471
2005;113099;32737;31648
2006;39558;31923;35120
2007;15751;28924;10684
2008;144752;19951;3961
2009;58631;14213;42278
2010;87470;13462;15252
2011;70342;14360;22439
2012;159097;15067;17946
2013;96739;12430;43830
2014;58749;15816;25494
2015;13722;16916;15127
2016;164160;12603;2984
2017;8271;9259;48338
2018;12285;10170;2104
2019;25564;11807;3095
2020;32726;7750;6329
2021;53691;3750;8133
2022;137018;2641;12775
2023;118747;2383;34291
2024;118747;5213;33853
