"year";"temp"
1950;17,9508162231162
1951;17,7891269534272
1952;16,8721473000155
1953;17,4942118598174
1954;16,1264871963484
1955;19,2367626102429
1956;16,1655779823611
1957;17,0905521816494
1958;17,0118142116664
1959;19,3530468048894
1960;17,2299121151168
1961;16,6716903527773
1962;15,6345001547269
1963;17,9973009825159
1964;16,4467085331889
1965;15,8161730620455
1966;16,7379836763113
1967;17,8060692016092
1968;17,8761648615194
1969;18,2138640724122
1970;17,2986284620145
1971;17,1035943834133
1972;18,0458305740368
1973;18,2635699752437
1974;16,7352459771004
1975;19,2670427046263
1976;18,5685568234566
1977;16,8136208803961
1978;16,1081837768838
1979;16,2346907782763
1980;16,6660965109082
1981;17,3542727448553
1982;18,2574307597091
1983;18,0679040693177
1984;16,6841061813399
1985;16,5696920547733
1986;16,736932616432
1987;15,9557146449018
1988;17,3692826860591
1989;17,1346445149311
1990;17,3324012842333
1991;17,9521921708185
1992;18,1482609856104
1993;15,9315786399505
1994;18,7717837304657
1995;18,7538054695962
1996;16,6837483366858
1997;19,5962900355872
1998;16,4280255686214
1999;18,6419580690082
2000;16,7305849063902
2001;18,322673410181
2002;19,0457453195111
2003;19,3139379158286
2004;17,4637419928826
2005;18,023916060653
2006;20,2285078910723
2007;17,2888780751973
2008;17,728393122389
2009;18,2024746247872
2010;18,6141500464181
2011;17,157612254371
2012;17,3022497679096
2013;18,5589483598948
2014;18,6387701144979
2015;17,2338665480427
2016;18,5010471143432
2017;17,5595218164939
2018;19,8346100881943
2019;18,3945473851153
2020;18,3729018644592
2021;18,5965228609005
2022;18,2083069395018
2023;18,3694718783847
2024;18,687104324617
