"year";"temp"
1950;17,9432683212781
1951;17,643781254613
1952;16,7420757349518
1953;17,4120829027899
1954;15,9720227639184
1955;19,0462383611341
1956;16,0393566403988
1957;16,9861346474843
1958;16,8652970181793
1959;19,2819588778998
1960;16,9412058858596
1961;16,5238512155518
1962;15,4805793742264
1963;17,8229480963357
1964;16,376343323833
1965;15,757878291528
1966;16,661941746057
1967;17,8006323736473
1968;17,8282314459446
1969;18,0409907797472
1970;17,109480878195
1971;16,9415487640092
1972;18,2004426743275
1973;18,2946751195113
1974;16,7167508118819
1975;19,1203130996855
1976;18,3484597096529
1977;16,6142601371683
1978;15,8810475830901
1979;15,9477782966378
1980;16,6622816293277
1981;17,1012955902892
1982;18,0192320619528
1983;17,9122364506569
1984;16,7020378660565
1985;16,4160648000954
1986;16,5244883724891
1987;15,5161980793033
1988;17,3665991517822
1989;17,0916435923785
1990;17,2380553158391
1991;17,7391545641387
1992;18,0485876945962
1993;15,7852363115582
1994;18,730985088058
1995;18,6769439460865
1996;16,4571925494226
1997;19,433016183701
1998;16,2779718140734
1999;18,684095518185
2000;16,6517320619528
2001;18,2207078417568
2002;18,9455141398027
2003;19,1154253579661
2004;17,429439134409
2005;17,9398209459843
2006;20,0635084793396
2007;17,0734054895704
2008;17,7797751569828
2009;18,1933163103092
2010;18,4287343868873
2011;17,2502706036313
2012;17,3051413128641
2013;18,4968133069141
2014;18,6198393126824
2015;17,2855942634585
2016;18,5212612556349
2017;17,4364805772877
2018;19,9007125682719
2019;18,4773612703964
2020;18,3479832826144
2021;18,700869806511
2022;18,3981509390578
2023;18,4398155949448
2024;18,84824843585
