year;age0;age1;age2;age3;age4;age5;age6;age7+
1985;1.232;0.559;0.635;0.5;1.061;0.933;0.844;0.201
1986;1.185;0.538;0.613;0.483;0.402;0.354;0.32;0.201
1987;1.18;0.535;0.594;0.468;0.276;0.243;0.22;0.201
1988;1.157;0.525;0.599;0.472;0.247;0.217;0.196;0.201
1989;1.074;0.487;0.648;0.511;0.258;0.227;0.206;0.201
1990;0.98;0.445;0.638;0.503;0.31;0.273;0.246;0.201
1991;0.91;0.413;0.555;0.438;0.45;0.395;0.358;0.201
1992;0.885;0.401;0.449;0.354;0.596;0.525;0.475;0.201
1993;0.856;0.389;0.37;0.292;0.6;0.527;0.477;0.201
1994;0.839;0.381;0.352;0.278;0.376;0.331;0.299;0.201
1995;0.856;0.388;0.373;0.294;0.275;0.242;0.219;0.201
1996;0.892;0.405;0.464;0.366;0.229;0.201;0.182;0.201
1997;0.888;0.403;0.677;0.534;0.217;0.19;0.172;0.201
1998;0.908;0.412;0.619;0.488;0.205;0.18;0.163;0.201
1999;0.924;0.419;0.564;0.445;0.206;0.182;0.164;0.201
2000;0.939;0.426;0.565;0.445;0.195;0.172;0.155;0.201
2001;0.945;0.429;0.503;0.397;0.198;0.175;0.158;0.201
2002;0.971;0.44;0.455;0.359;0.225;0.198;0.179;0.201
2003;0.991;0.45;0.363;0.286;0.282;0.248;0.224;0.201
2004;1.065;0.483;0.299;0.236;0.32;0.281;0.254;0.201
2005;1.16;0.526;0.274;0.216;0.331;0.291;0.264;0.201
2006;1.262;0.573;0.26;0.205;0.303;0.267;0.241;0.201
2007;1.276;0.579;0.231;0.182;0.402;0.353;0.32;0.201
2008;1.204;0.546;0.177;0.14;0.546;0.48;0.434;0.201
2009;1.273;0.578;0.132;0.104;0.677;0.596;0.539;0.201
2010;1.31;0.594;0.138;0.108;0.454;0.399;0.361;0.201
2011;1.344;0.61;0.176;0.139;0.265;0.233;0.211;0.201
2012;1.351;0.613;0.204;0.161;0.29;0.255;0.231;0.201
2013;1.416;0.642;0.23;0.181;0.422;0.371;0.336;0.201
2014;1.502;0.682;0.249;0.196;0.548;0.482;0.436;0.201
2015;1.547;0.702;0.273;0.215;0.586;0.515;0.466;0.201
2016;1.462;0.663;0.254;0.2;0.81;0.713;0.645;0.201
2017;1.551;0.704;0.231;0.182;1.081;0.951;0.86;0.201
2018;1.533;0.696;0.277;0.219;1.269;1.116;1.009;0.201
2019;1.482;0.673;0.387;0.305;1.005;0.884;0.8;0.201
2020;1.364;0.619;0.542;0.428;1.38;1.214;1.098;0.201
2021;1.225;0.556;0.982;0.774;1.278;1.124;1.017;0.201
2022;1.123;0.51;1.442;1.136;1.454;1.279;1.157;0.201
2023;1.063;0.482;2.07;1.632;1.388;1.22;1.104;0.201
2024;1.02;0.463;1.921;1.514;1.258;1.107;1.001;0.201
