year;age0;age1;age2;age3;age4;age5;age6;age7+
1985;0.911;0.414;0.403;0.318;0.914;0.804;0.727;0.201
1986;0.815;0.37;0.32;0.252;0.201;0.177;0.16;0.201
1987;0.779;0.354;0.294;0.232;0.115;0.101;0.092;0.201
1988;0.74;0.336;0.291;0.23;0.093;0.082;0.074;0.201
1989;0.678;0.308;0.303;0.239;0.094;0.083;0.075;0.201
1990;0.605;0.275;0.288;0.227;0.116;0.102;0.092;0.201
1991;0.545;0.247;0.244;0.192;0.165;0.145;0.131;0.201
1992;0.521;0.236;0.195;0.153;0.223;0.196;0.177;0.201
1993;0.497;0.226;0.16;0.126;0.217;0.191;0.173;0.201
1994;0.482;0.219;0.15;0.118;0.145;0.128;0.115;0.201
1995;0.496;0.225;0.164;0.129;0.098;0.086;0.078;0.201
1996;0.519;0.235;0.213;0.168;0.075;0.066;0.06;0.201
1997;0.519;0.236;0.299;0.235;0.064;0.056;0.051;0.201
1998;0.537;0.244;0.296;0.234;0.058;0.051;0.046;0.201
1999;0.552;0.251;0.27;0.213;0.055;0.049;0.044;0.201
2000;0.567;0.257;0.259;0.204;0.056;0.049;0.044;0.201
2001;0.576;0.261;0.225;0.177;0.059;0.052;0.047;0.201
2002;0.598;0.271;0.187;0.147;0.067;0.059;0.054;0.201
2003;0.618;0.28;0.143;0.113;0.081;0.071;0.064;0.201
2004;0.676;0.307;0.112;0.088;0.097;0.086;0.077;0.201
2005;0.741;0.336;0.093;0.073;0.111;0.097;0.088;0.201
2006;0.792;0.359;0.078;0.061;0.121;0.107;0.097;0.201
2007;0.813;0.369;0.064;0.05;0.165;0.145;0.131;0.201
2008;0.795;0.361;0.053;0.042;0.244;0.214;0.194;0.201
2009;0.845;0.383;0.045;0.036;0.3;0.264;0.239;0.201
2010;0.876;0.397;0.045;0.035;0.198;0.174;0.157;0.201
2011;0.904;0.41;0.049;0.039;0.12;0.106;0.096;0.201
2012;0.917;0.416;0.056;0.044;0.124;0.109;0.098;0.201
2013;0.966;0.438;0.065;0.051;0.177;0.156;0.141;0.201
2014;1.02;0.463;0.073;0.058;0.249;0.219;0.198;0.201
2015;1.041;0.472;0.08;0.063;0.301;0.265;0.239;0.201
2016;1.011;0.459;0.086;0.068;0.457;0.402;0.364;0.201
2017;1.039;0.471;0.092;0.072;0.677;0.595;0.538;0.201
2018;1.018;0.462;0.117;0.092;0.833;0.732;0.662;0.201
2019;0.978;0.444;0.177;0.139;0.644;0.566;0.512;0.201
2020;0.905;0.41;0.29;0.228;0.924;0.813;0.735;0.201
2021;0.799;0.362;0.602;0.475;0.835;0.735;0.665;0.201
2022;0.702;0.318;1.004;0.791;0.936;0.824;0.745;0.201
2023;0.631;0.286;1.529;1.205;0.851;0.748;0.677;0.201
2024;0.567;0.257;1.254;0.989;0.672;0.591;0.535;0.201
