year;age0;age1;age2;age3;age4;age5;age6;age7
1985;458813;49263;24421;21912;4204;1128;364;208
1986;168753;130365;22421;8787;4853;841;288;141
1987;80056;44489;66655;8085;2026;974;208;110
1988;86114;20407;21850;22990;2051;455;251;91
1989;131928;22569;8528;8495;5329;499;126;92
1990;224789;35090;11362;3428;2246;1268;149;68
1991;408091;59942;18273;4292;803;491;335;69
1992;176923;118980;29170;6501;979;151;119;101
1993;346339;43282;58801;11473;1491;196;25;50
1994;525102;94129;21673;26825;3534;288;34;17
1995;190257;153089;53841;9060;8365;1105;76;9
1996;482134;45345;101444;24285;2163;2258;247;13
1997;710388;133298;14609;47507;5141;581;515;78
1998;278039;205804;60703;6020;9844;1192;159;142
1999;250229;70815;94071;22230;1746;1931;299;91
2000;163073;72773;32129;31897;5641;359;422;85
2001;325368;47910;40467;11770;7567;1391;85;120
2002;109769;96514;25972;15526;2651;1533;364;40
2003;352906;29895;55983;9276;3041;565;350;100
2004;117035;108471;14720;22496;2430;602;157;118
2005;113099;31648;66755;5861;5805;586;135;70
2006;39558;35120;16949;29530;1850;1399;143;40
2007;15751;10684;18566;7985;8042;702;409;51
2008;144752;3961;6774;7227;2670;1783;253;148
2009;58631;42278;3951;4282;2232;795;380;112
2010;87470;15252;28048;2666;1563;618;202;110
2011;70342;22439;8080;15157;1362;451;126;68
2012;159097;17946;12087;4432;4719;639;129;38
2013;96739;43830;9369;6395;1579;1268;223;58
2014;58749;25494;23392;4434;2138;380;304;61
2015;13722;15127;12548;10491;1395;537;90;99
2016;164160;2984;8186;4523;3330;397;125;51
2017;8271;48338;1696;4062;1381;731;95;46
2018;12285;2104;24877;736;1348;339;148;35
2019;25564;3095;957;12559;294;359;71;37
2020;32726;6329;1404;478;4712;81;72;23
2021;53691;8133;2842;620;144;1199;17;20
2022;137018;12775;3180;1162;191;39;213;8
2023;118747;34291;4712;1211;379;51;9;44
2024;118747;33853;15917;1902;441;115;12;13
