Year;Recruits_0;SSB;Recruits_1
1991;5434718;293481;3945572
1992;3671877;303170;3863649
1993;3111053;286851;2607185
1994;4758131;230584;2173176
1995;4353904;198413;3306789
1996;4361533;135190;2895768
1997;3564338;149322;2990875
1998;5055566;121122;2414891
1999;5032296;120787;3416021
2000;2914911;125113;3522788
2001;2783498;136605;2092079
2002;2823521;157522;1987020
2003;2947955;124683;2025688
2004;1996347;130397;2125560
2005;1743727;124591;1437300
2006;1273904;135824;1266885
2007;1395032;109045;928573
2008;1134463;87223;1020508
2009;1052382;79397;829605
2010;1501757;73889;767453
2011;1281035;68163;1102661
2012;1140587;72381;941935
2013;1863429;80533;838602
2014;1105175;83447;1367946
2015;906779;86175;811462
2016;784295;82136;665488
2017;761816;68343;574774
2018;672190;51546;561275
2019;622734;40778;495520
2020;487249;37833;460117
2021;336841;36655;359596
2022;468783;42150;249115
2023;703860;50626;347173
2024;896701;54338;521380
