year;age0;age1;age2;age3;age4;age5;age6;age7;age8
1991;0;0;0.2;0.75;0.9;1;1;1;1
1992;0;0;0.2;0.75;0.9;1;1;1;1
1993;0;0;0.2;0.75;0.9;1;1;1;1
1994;0;0;0.2;0.75;0.9;1;1;1;1
1995;0;0;0.2;0.75;0.9;1;1;1;1
1996;0;0;0.2;0.75;0.9;1;1;1;1
1997;0;0;0.2;0.75;0.9;1;1;1;1
1998;0;0;0.2;0.75;0.9;1;1;1;1
1999;0;0;0.2;0.75;0.9;1;1;1;1
2000;0;0;0.2;0.75;0.9;1;1;1;1
2001;0;0;0.2;0.75;0.9;1;1;1;1
2002;0;0;0.2;0.75;0.9;1;1;1;1
2003;0;0;0.2;0.75;0.9;1;1;1;1
2004;0;0;0.2;0.75;0.9;1;1;1;1
2005;0;0;0.2;0.75;0.9;1;1;1;1
2006;0;0;0.2;0.75;0.9;1;1;1;1
2007;0;0;0.2;0.75;0.9;1;1;1;1
2008;0;0;0.2;0.75;0.9;1;1;1;1
2009;0;0;0.2;0.75;0.9;1;1;1;1
2010;0;0;0.2;0.75;0.9;1;1;1;1
2011;0;0;0.2;0.75;0.9;1;1;1;1
2012;0;0;0.2;0.75;0.9;1;1;1;1
2013;0;0;0.2;0.75;0.9;1;1;1;1
2014;0;0;0.2;0.75;0.9;1;1;1;1
2015;0;0;0.2;0.75;0.9;1;1;1;1
2016;0;0;0.2;0.75;0.9;1;1;1;1
2017;0;0;0.2;0.75;0.9;1;1;1;1
2018;0;0;0.2;0.75;0.9;1;1;1;1
2019;0;0;0.2;0.75;0.9;1;1;1;1
2020;0;0;0.2;0.75;0.9;1;1;1;1
2021;0;0;0.2;0.75;0.9;1;1;1;1
2022;0;0;0.2;0.75;0.9;1;1;1;1
2023;0;0;0.2;0.75;0.9;1;1;1;1
2024;0;0;0.2;0.75;0.9;1;1;1;1
