year;age0;age1;age2;age3;age4;age5;age6;age7;age8
1991;0.3;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.2
1992;0.3;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.2
1993;0.3;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.2
1994;0.3;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.2
1995;0.3;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.2
1996;0.3;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.2
1997;0.3;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.2
1998;0.3;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.2
1999;0.3;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.2
2000;0.3;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.2
2001;0.3;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.2
2002;0.3;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.2
2003;0.3;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.2
2004;0.3;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.2
2005;0.3;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.2
2006;0.3;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.2
2007;0.3;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.2
2008;0.3;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.2
2009;0.3;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.2
2010;0.3;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.2
2011;0.3;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.2
2012;0.3;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.2
2013;0.3;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.2
2014;0.3;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.2
2015;0.3;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.2
2016;0.3;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.2
2017;0.3;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.2
2018;0.3;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.2
2019;0.3;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.2
2020;0.3;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.2
2021;0.3;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.2
2022;0.3;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.2
2023;0.3;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.2
2024;0.3;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.2
