year;age0;age1;age2;age3;age4;age5;age6;age7;age8
1991;0.0001;0.03085;0.05277;0.07873;0.10412;0.12447;0.14492;0.15943;0.16398
1992;0.0001;0.02029;0.04513;0.08176;0.10751;0.13127;0.15934;0.17102;0.18693
1993;0.0001;0.01563;0.0402;0.09671;0.10793;0.14087;0.16715;0.18273;0.18906
1994;0.0001;0.01855;0.05288;0.08357;0.10767;0.13921;0.15656;0.17676;0.20275
1995;0.0001;0.01305;0.0459;0.07081;0.13269;0.16745;0.18923;0.2097;0.23377
1996;0.0001;0.01815;0.05456;0.09051;0.11703;0.11974;0.15383;0.14667;0.12803
1997;0.0001;0.0131;0.05147;0.10633;0.13334;0.16618;0.19429;0.20895;0.22635
1998;0.0001;0.02209;0.05578;0.08293;0.1128;0.13378;0.16779;0.16832;0.18432
1999;0.0001;0.02106;0.05668;0.08705;0.10813;0.14801;0.16015;0.14394;0.15043
2000;0.0001;0.01398;0.04313;0.0837;0.12504;0.14365;0.16287;0.16503;0.18311
2001;0.0001;0.01686;0.05088;0.07829;0.11594;0.16904;0.17627;0.16808;0.18052
2002;0.0001;0.01645;0.06368;0.09046;0.12388;0.17365;0.1983;0.19801;0.20363
2003;0.0001;0.01444;0.04447;0.07926;0.10509;0.12681;0.15061;0.17287;0.18471
2004;0.0001;0.01306;0.04561;0.08106;0.10925;0.14399;0.16285;0.19321;0.20759
2005;0.0001;0.0126;0.05136;0.08;0.10657;0.13221;0.15733;0.16766;0.18205
2006;0.0001;0.01846;0.0621;0.09527;0.1174;0.16593;0.17102;0.18584;0.18708
2007;0.0001;0.015;0.055;0.08;0.114;0.143;0.171;0.175;0.188
2008;0.0001;0.018;0.068;0.086;0.11;0.139;0.143;0.141;0.158
2009;0.0001;0.023;0.052;0.09;0.13;0.156;0.174;0.185;0.199
2010;0.0001;0.01404;0.06265;0.09735;0.12833;0.16176;0.18131;0.20229;0.20447
2011;0.0001;0.009;0.058;0.095;0.126;0.156;0.173;0.185;0.192
2012;0.0001;0.012;0.05;0.092;0.114;0.158;0.178;0.191;0.201
2013;0.0001;0.014;0.056;0.095;0.129;0.143;0.161;0.179;0.199
2014;0.0001;0.016;0.052;0.081;0.13;0.165;0.174;0.19;0.205
2015;0.0001;0.015;0.049;0.088;0.116;0.157;0.18;0.169;0.194
2016;0.0001;0.01375;0.04147;0.08109;0.10571;0.13662;0.17349;0.18239;0.19032
2017;0.0001;0.01769;0.047860739;0.081459025;0.118052751;0.132365955;0.155830045;0.173081616;0.175052563
2018;0.0001;0.01252654;0.049064494;0.082843373;0.109073929;0.143178064;0.154414906;0.169559415;0.185349712
2019;0.0001;0.025612106;0.056774454;0.077110563;0.11895576;0.148097457;0.170460406;0.177839142;0.190961031
2020;0.0001;0.023755383;0.048382792;0.078118588;0.103925884;0.146524278;0.164433062;0.168592247;0.180887597
2021;0.0001;0.019178005;0.054446015;0.074506367;0.117037716;0.12930273;0.177285789;0.181414877;0.178061351
2022;0.0001;0.01783872;0.074941209;0.086499659;0.112731771;0.130383607;0.165035257;0.180972204;0.187170132
2023;0.0001;0.024150199;0.055702988;0.084347813;0.113759497;0.155740176;0.172505094;0.181628239;0.189230798
2024;0.0001;0.022278108;0.071226728;0.094270806;0.092961614;0.147873261;0.16430204;0.166582713;0.174093278
